"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
211,CG03MH0211,TURGA TANK,1999,Local Nalla,Lakhanpur,TE,16.68,350,79,1170,251,1097,I,46
212,CG03MH0212,CHHOTA PALGI  T.,2000,Local Nalla,Ambikapur,TE,17,435,61,297,64,278,I,14
213,CG03HH0213,GHUNGHUTTA TANK,2000,Ghunghutta,Ambikapur,TE,31.5,4995,6250,82050,12657,620,I,2120
214,CG03MH0214,BATRA TANK,2002,Local Nalla,Bhaiyathan,TE,15.91,1500,528,7240,1700,6880,I,110
215,CG03LH0215,DEOGAON TANK,2002,Local,Mahasaamund,TE,11.43,1494,,7520,1808,7119,I,149.75
216,CG03MH0216,GEJ RESERVIOR,2002,Local Nalla,Baikunthpur,TE,27.5,4065,3504,25500,4133,22870,I,698
217,CG03MH0217,MALHANIYA TANK,2002,Malhaniya,Pendra,TE,21.8,2700,677,858,1836,785,I,270
218,CG03LH0218,MASOOLJOB TANK,2002,Local,Dongargarh,TE,11.17,1050,102.22,3757,349,3264,I,73
219,CG03LH0219,SAKARSUNDARI TANK,2002,Local,Dharmjaigarh,TE,13.13,315,77,1069,93,791,I,123
220,CG03MH0220,CHAMPI TANK,2003,Champi,Ratanpur,TE,15.42,2160,335,1364,4523,1237,I,374
221,CG03MH0221,GHONGHA TANK,2003,Ghonga,Kota,TE,17.88,720,301,3403,7880,30070,I,666
222,CG03LH0222,KHURSIPAR,2003,Local,Dongargaon,TE,10.2,930,28.46,1485,714,1270,I,52
223,CG03**0223,MANKI TANK,2003,Local,Dongargarh,TE,9.75,2010,106.33,3889,462,3066,I,200
224,CG03LH0224,RAMCHANDRAPUR T.,2003,Local Nalla,Ambikapur,TE,14.2,355,75,1028,274,746,I,64
225,CG03LH0225,TAMTA TANk,2003,Local,Pathalgaon,TE,14.45,793,232,3342,802,2405,I,275
226,CG03LH0226,BARAT SAGAR TANK,2004,Local,Lormi,TE,13.5,1600,125,222,741,115,I,148
227,CG03MH0227,BARDAR TANK,2004,Local Nalla,Khadgawan,TE,18.3,810,367,4897,903,4314,I,112
228,CG03MH0228,JAGATPUR TANk,2004,Local Nalla,Baikunthpur,TE,18.86,180,191,1132,592,1090,I,34
229,CG03MH0229,KACHHOD TANK,2004,Local Nalla,Manendragarh,TE,16.9,270,203,231,72,226,I,14
230,CG03MH0230,KADNA TANK,2004,Local Nalla,Sonhat,TE,21.6,165,104,1500,230,1340,I,24
231,CG03MH0231,LAI TANK,2004,Local Nalla,Manendragarh,TE,16.5,518,374,357,126,285,I,35
232,CG03MH0232,SALIYADIH TANK,2004,Local Nalla,Ambikapur,TE,15.9,465,163,790,159,726,I,41
233,CG03MH0233,AYABHANDHA,2005,Local,Dongargaon,TE,16.2,495,67.25,1158,436,1060,I,50
234,CG03MH0234,CHANDRA NAGAR T.,2005,Local Nalla,Ramchandrapur,TE,20.91,285,225,3414,593,2785,I,105
235,CG03LH0235,KOLIYARI TANK,2005,Local,Dongargarh,TE,12.57,1140,112.79,2160,339,1948,I,106
236,CG03MH0236,RAJPURI TANK,2005,Local Nalla,Ambikapur,TE,15.6,1260,186,1707,378,593,I,96
237,CG03MH0237,PARASRAMPUR T.,2006,Garasili,Surajpur,TE,20.7,1260,1500,945,164,856,I,198
238,CG03**0238,PURENA TANK,2006,Local,Dongargaon,TE,9.27,1800,107.87,2112,1158,1930,I,88
239,CG03MH0239,GANGPUR TANK,2007,Khudar,Pendra,TE,16.4,1110,219,198,566,162,I,150
240,CG03MH0240,SARDIH TANK,2007,Local,Manora,TE,19,540,266,2319,435,2139,I,67
