Sl    No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of dam,"Height above
lowest foundation (m)",Length of dam (m),Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir
Area (103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
124,OR10MH0124,DAHA,,"840 - 28' - 00"" E","190 - 56' - 00"" N",1988,Daha & Kalinga,Bhanjanagar,-,TE,19.3,3502.5,1230,28000,5520,21950,I,1380
125,OR10MH0125,DUMERBAHAL(MI),,"830 - 10' - 00"" E","200 - 25' - 00"" N",1988,D. Nalla,Titilagarh,-,TE,21.9,1385,65.09,20000,4250,16400,S,707.5
126,OR10LH0126,KUKUDAJODI,,"860 - 52' - 00"" E","210 - 55' -30"" N",1988,Kukudajodi,Baripada,-,TE,12.19,853.44,82,1712,670,1480,I,132.44
127,OR10MH0127,KARADA,,,,1988,Dobhani nalla,Baramba,,TE,19.94,434.7,,760,16.4,650,I,101.1
128,OR10MH0128,KUANRIA,,"840 - 28' - 00"" E","200 - 20' - 00"" N",1988,Kuanria,Dasapalla,-,TE,21,1576,730,22000,4855,17500,I,1472
129,OR10MH0129,PAITAGAON,,"840 - 29' - 15"" E","200 - 14' - 30"" N",1988,Paitagaon nalla,Chakapad,-,TE,22.7,568,270.1,1350,186,960,I,282
130,OR10MH0130,PARHEL,,"830 - 47' - 45"" E","200 - 32' - 20"" N",1988,Parhel nalla,Kantamal,-,TE,16,530,177.12,980,350,770,I,132.44
131,OR10MH0131,PENDRAWAN,,"820 - 42' - 20"" E","200 - 27' - 10"" N",1988,Kalapararao nalla,Khariar,-,TE,17.87,450,143,4500,127,3000,I,408
132,OR10MH0132,PILLASALKI,,"840 - 20' - 00"" E","200 - 26' - 00"" N",1988,Pillasalki,Phulbani,-,TE,26.5,441,633,19200,2570,14400,I,793
133,OR10MH0133,RISSIA,,"840 - 35' - 20"" E","210 - 26' - 30"" N",1988,Tangana nalla,Nilagiri,-,TE,19.51,1326,239.4,5660,1278,4630,I,554.7
134,OR10MH0134,KANSBAHAL,,"840 - 39' - 00"" E","220 - 10' - 45"" N",1990,Badjore nalla,Rajgangpur,-,TE,28,1145,,40410,5060,28720,I,1745
135,OR10MH0135,BHITIRI BEDITGUDA,,"840 - 28' - 50"" E","200 - 06' - 50"" N",1991,Baunsakata nalla,Digapahandi,-,TE,18.1,395,166.68,1000,480,900,I,78
136,OR10MH0136,JUANRIA,,"850 - 45' - 30"" E","210 - 15' - 30"" N",1991,Juanria nalla,Anandpur,-,TE,17.37,935.74,93,2660,440,2220,I,306
