"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
31,MP08LH0031,RAMGARHI,1915,Local,,TE,10.97,659,33.98,648,132,623,I,53.75
32,MP08LH0032,KHANKURIA,1915,Local,Chachoda,TE,10.28,690,-,703,220,635,I,39.62
33,MP08LH0033,JAMAKHERI,1915,Local,Ashok Ngr.,TE,12.19,2790,-,4530,1870,4361,I,255.62
34,MP08LH0034,KESHOPUR,1916,Local,Mungawali,TE,10.82,1432,-,2410,107.8,2369,I,122.46
35,MP08LH0035,MOMANPURA,1916,Local,Dewas,TE,11,1470,-,4230,173,4100,I,181
36,MP08LH0036,AMA NALLA (OLD),1916,Local,,TE,10.24,762,53.8,586,247,563,I,41.12
37,MP08LH0037,KUTARI NALLA,1916,Local,Baihar,TE,11.88,579.12,-,870,300,800,I,74.25
38,MP08MH0038,JAGLA TANK,1916,Local,Baihar,TE,17.33,317,86.65,4786,771,4211,I,39.48
39,MP08LH0039,BHAROLI,1916,Local,Ashok Ngr.,TE,12.19,1676,-,2070,932,1816,I,125
40,MP08LH0040,MOHARI,1916,Local,Guna,TE,12.2,1221,-,2670,1094,2363,I,113.28
41,MP08LH0041,AHMADPUR,1916,Local,,TE,14.12,1007,103.07,3320,1293,2950,I,84
42,MP08LH0042,NAROLA,1916,Local,Shajapur,TE,10.02,2148,182,3240,1354,3087.2,I,116.5
43,MP08LH0043,RANJEET,1916,Local,Barwani,TE,13.71,300,-,4040,1595,3550,I,117.63
44,MP08LH0044,SILODA,1916,Local,Shajapur,TE,10.87,2225,189,4280,2250,3850,I,280
45,MP08MH0045,GOVINDGARH,1916,Local,Rewa,TE,21.34,5230,-,11960,3073,9410,I,6.2
46,MP08LH0046,HARDUAMUDAR,1917,Local,Damoh,TE,12.75,585,-,1590,498,1457,I,128
47,MP08LH0047,MAUSANDHA,1917,,,TE,11.93,1073,-,1393,1000,1236,I,72.35
48,MP08LH0048,SAMARSINGHA,1917,Local,Guna,TE,11.88,1380,NA,6090,2140,5476,I,140
49,MP08LH0049,AMAHI,1917,Local,Ashok Ngr.,TE,14.63,2700,-,11270,3000,10660,I / WS,207.31
50,MP08MH0050,RAMPUR,1917,Local,Guna,TE,24.38,1646,-,15038,4337,14184,I,1450
51,MP08MH0051,TIGRA,1917,Sank,Gwalior,TE/PG,24.08,1524,-,130000,19319,120000,I / WS,4067
52,MP08MH0052,HARSI,1917,Parwati,Dabra,TE,29.28,2138,-,192670,25230,179020,I,4757.85
53,MP08MH0053,PATHARHATTA,1918,,,TE,17.37,1432,,2695,408,2508,I,37
54,MP08LH0054,DHARWARA,1918,,,TE,11.27,2340,,270,950,166,I,68
55,MP08LH0055,CHANDAPATHA,1918,Local,Shivpuri,PG,13.81,2145,-,7780,2130,7775,I / WS,482.17
56,MP08LH0056,AMETHA,1918,Local,Katni,TE,14.11,1097,-,7340,-,7090,I,314
57,MP08LH0057,BAISLY,1919,Local,Gohad,TE,12.19,2134,-,21678,10700,15056,I,1572
58,MP08LH0058,CHHOTI DEORI,1919,Local,Hata,TE,12.05,445,-,840,-,770,I,52.44
59,MP08LH0059,LOWER SAKARWARA,1919,Local,Katni,TE,11.62,1097,-,3482,-,-,I,37.67
60,MP08MH0060,BADERA,1920,Local,,TE,16.68,356,5.88,4116,135,4109,I,99.45
