"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
61,JH05MH0061,KANSJORE,U/C,Kans Jore Nal,Gumla,TE,28,3003,,23000,90,3700,I,113.3
62,JH05MH0062,KATRI,U/C,Katri,Gumla,TE,23.4,1890,,,,,I,808
63,JH05HH0063,NAKTI (Chaibasa),U/C,Nakti,Chaibasa,TE,38,677.53,,11000,720.6,9204,I,226.7
64,JH05MH0064,PANCHKHERO,U/C,Panchkhero,Hazaribagh,TE,20.2,2088.5,,8990,2760,5990,I,633
65,JH05MH0065,PUNASI,U/C,Ajay,Deoghar,TE,21.54,2133.6,,149800,24180,113500,I,4099.3
66,JH05MH0066,RAMREKHA,U/C,Utail Nala,Simdega,TE,28.35,518.3,,16000,50,14000,I,18
67,JH05MH0067,SALAIYA,U/C,Barsoti,Barkatta,TE,18.6,990,,22820,,19060,I,792
68,JH05MH0068,SATPOKA,U/C,Potka,Manoharpur,TE,24.4,1281,,10600,50,9300,I,398
69,JH05HH0069,SONUA,U/C,Sanjay,Chaibasa,TE,36.32,640,,36880,3522,31320,I,1170
70,JH05MH0070,SUGFATHAN,U/C,Dibri,Paraiahat,TE,21.12,2040,,21440,5140,18260,I,708
71,JH05HH0071,SURANGI,U/C,Surangi Nala,Ranchi,TE,32.88,217.5,,7620,1020,5230,I,
72,JH05HH0072,SURU,U/C,Suru,Chaibasa,TE,35.07,166,,27121.5,2463.6,24426.4,I,987
73,JH05MH0073,TAHLAY,U/C,Tahlay,Garhwa,TE,15,,,190000,,153700,I,
74,JH05MH0074,TORAI,U/C,Torai,Pakur,TE,24.4,647.7,,24800,4450,21100,I,1022
75,JH05HH0075,UPPER SHANKH,U/C,Shankh,Gumla,TE,36.58,1067,,27000,48,,I,25
76,JH05LH0076,KESHO,UC,Kesho,Koderma,TE,14.57,2052,750,16460,5460,,I,1046
77,JH05LH0077,KRISHNA SAGAR,UC,Chano-mano-jore,Madhupur,TE,11.05,755,,,195,,I,50
