Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1231,MH09MH1231,HALDANI,1989,Local Nallah,Nawapur,TE,19.42,1230,332,3420,62,2890,I,
1232,MH09LH1232,MATLA,1989,Local Nallah,Buldana,TE,12.93,530,,,,,I,
1233,MH09LH1233,KARLI,1990,Local Nallah,Manora,TE,14.8,292,,1035,223,987,I,94
1234,MH09MH1234,SHIVDAV,1990,Local Nallah,Kankawali,TE,24.8,264,326,2687,291.66,2648,I,113.31
1235,MH09MH1235,HADASHI 1,1990,Walki,Mulshi,TE,21.83,720,288,3070,3500,2980,I,181
1236,MH09MH1236,RAJURA,1990,Local Nallah,Kalamb,TE,17.02,617,148,2290,,2190,I,196
1237,MH09MH1237,KHED,1990,Local Nallah,Igatpuri,TE,19.01,417,,3800,520,3720,,216
1238,MH09MH1238,VISARWADI,1990,Local Nallah,Nawapur,TE,20.55,655,298,3280,27,3140,I,368.6
1239,MH09MH1239,GHODAMBE,1990,Local Nallah,Surgana,TE,18.56,451,164,2220,550,2010,I,431
1240,MH09MH1240,RAMESHWAR,1990,Kokani,Kalwan,TE,16.8,960,235,2000,264,1450,I,462
1241,MH09LH1241,DHAMANGAON BADHE,1990,Local Nallah,Motala,TE,13.6,1080,137,2970,1051,2690,I,467
1242,MH09HH1242,PATGAON,1990,Vedganga,Bhudargad,TE,39.19,1101.5,6802,105.24,10.13,104.77,I/H,499.71
1243,MH09MH1243,KAYANKANDA,1990,Local Nallah,Sakri,TE,17.34,594,193,2360,48,2300,I,557
1244,MH09MH1244,NAGTHANA,1990,Chudamani,Warud,TE,17.3,1670,,2250,532,1700,I,791
1245,MH09HH1245,KASARI,1990,Kasari,Shahuwadi,TE,44.24,300,1311,87.56,534,77.96,I/H,860
1246,MH09MH1246,ARSOLI,1990,Local Nallah,Bhoom,TE,23.3,6561,,9230,1760,7330,I,931
1247,MH09MH1247,MOGHA,1990,Local Nallah,do,TE,17.4,1444,,7892,1670,6970,I,1049
1248,MH09MH1248,VARDAWAD WADI,1990,Shakhari,Nandgaon,TE,19.35,194,917,1280,61,1220,I,1138.39
1249,MH09MH1249,ADOL,1990,Adola,Borala,TE,18.47,1725,479,15270,3141,,I,1274
1250,MH09MH1250,MANDWADWADI,1990,Shankambari,Nandgaon,TE,18.2,323,,1.28,,1.22,I,1939
1251,MH09MH1251,CHIKHALGI,1990,Dodda,Mangalwedha,TE,18.19,1290,,8940,,5950,I,1965
1252,MH09HH1252,SHAHANOOR,1990,Shahanoor,AnjangaonSurji,TE,57.81,828,3446,47850,2970,46040,I/S,2406
1253,MH09MH1253,LOWER WUNNA (NAND),1990,Nand,Nagpur,TE/PG,16.25,2513,1833,62182,21642,53182,I,5238
1254,MH09LH1254,VISHNUPURI,1990,Local Nallah,Nanded,TE,13,321,,8355,,8196,I,33220
1255,MH09MH1255,JAWALA,1990,Local Nallah,Risod,TE,15.32,270,,1168,,1090,I,
1256,MH09LH1256,KATAWADA,1990,Local Nallah,Chikhali,TE,13.03,650,,,,,I,
1257,MH09HH1257,NANDKHED,1990,Local Nallah,Washim,TE,30.36,730,,,,,I,
1258,MH09MH1258,CHALKEWADI,1991,Local Nallah,Patan,TE,21.53,366,143,0.8,154,0.78,I,39
1259,MH09MH1259,PUNADE,1991,Local Nallah,Uran,PG,28.46,312,133.2,1710,192,1700,I,41.35
1260,MH09MH1260,ASURDE,1991,Local Nallah,Kankawali,TE,22.6,340,311,1848,260,1832,I,46.5
