Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1321,MH09MH1321,KONDE,1994,Local Nallah,Rajapur,TE,28.42,135,134,1741,253,1653,I/S,27.3
1322,MH09MH1322,SHENWAD,1994,Local Nallah,Igatpuri,TE,17.9,920,,2900,,2880,,68.19
1323,MH09MH1323,MANDVE (SATARA),1994,Vasna,Patan,TE,19.5,1080,44,1150,504,3150,I,229
1324,MH09MH1324,PIMPURNA,1994,Local Nallah,Jawhar,TE,16.94,172,,2410,261,2324,I,232.36
1325,MH09LH1325,BOLA,1994,Local,Parola,TE,10.79,320,,1310,524,1160,I,255
1326,MH09MH1326,HARALKHED,1994,Local Nallah,Chikhali,TE,20.01,250,161,1860,326,,I,272
1327,MH09LH1327,KOYALI,1994,Local Nallah,Risod,TE,10.61,871,,925,,891,I,314
1328,MH09MH1328,GANGAPURI,1994,Local Nallah,Raver,TE,18.13,282,75,2392,559,2299,I,380
1329,MH09MH1329,DEUR,1994,Local Nallah,Koregaon,TE,18.6,966,194,1.85,429,1.62,I,475.6
1330,MH09LH1330,LAVARDE,1994,Local Nallah,Mulshi,TE,11.45,326,131,2740,,2480,I,526
1331,MH09LH1331,UGHADEWADI,1994,Local Nallah,Malshiras,TE,12.5,594,1.93,2.3,0.05,2.36,I,557
1332,MH09LH1332,SAWARKHEDA,1994,Local,Barshi Takali,TE,11.31,1640,150,3190,84,3150,I,613
1333,MH09MH1333,SANGAVI,1994,Adhala,Akole,TE,18.58,157,,2.03,,1.58,I,660.44
1334,MH09LH1334,SAIKINALLA,1994,Saiki,Umrer,TE,14.65,1890,545,8990,2629,6980,I,728
1335,MH09MH1335,DHAKANI,1994,Local Nallah,Man,TE,18.5,820,164.34,3050,668,2660,I,802
1336,MH09MH1336,VADRI,1994,Sur,Yawal,TE,26.64,361,,2.79,,2.65,I,874.46
1337,MH09MH1337,BOKANI,1994,Local Nallah,Udgir,TE,17.03,1440,,13460,3170,8590,I,1258.8
1338,MH09LH1338,BENITURA,1994,Local Nallah,Omerga,TE,13.48,1780,,12810,,,I,1614
1339,MH09MH1339,SAKAT,1994,Dudhana,Paranda,TE,19.8,2775,,14430,4340,13440,I,1686
1340,MH09MH1340,JAWALGAON,1994,Nagzari,Barshi,TE,20.85,1229,475,34.75,6717,25.21,I,1838
1341,MH09MH1341,TEMBHAPURI,1994,Nagzari,A'bad,TE,16.42,5300,809,21260,8495,19000,I,2038
1342,MH09LH1342,HIWARA,1994,Hivara,Pachora,TE,14,3860,96,1277,451,960,I,2591
1343,MH09MH1343,ARUNAWATI,1994,Arunawati,Digras,TE/PG,29.5,5170,4412,198395,39290,169675,I,8525
1344,MH09MH1344,GADHAWALI,1994,Local Nallah,Shirpur,TE,16.52,829,880,940,20,940,I,
1345,MH09MH1345,AMDARI,1994,Local Nallah,Manora,TE,19.61,345,,,,,I,
1346,MH09LH1346,GARADGAON,1994,Bordi,Khamgaon,TE,14.8,1265,,,,,I,
1347,MH09MH1347,BORKHIND,1995,Local Nallah,Sinnar,TE,19.59,660,160,1580,,1420,,8
1348,MH09MH1348,KARANDEWADI,1995,Local Nallah,Kadegaon,T.E.,18.45,124,,1360,,,,39.45
1349,MH09MH1349,TULYACHAPADA,1995,Local Nallah,Mokhada,TE,21.59,545,173.23,1984,273.16,1933,I/S,45.15
1350,MH09LH1350,SAWANGA,1995,Local Nallah,Washim,TE,12.9,380,230,1130,34,1102,I,86
