"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
331,MP08MH0331,SIRJAGAON,1979,Local,Bhainsdhehi,TE,17.99,198,,1079,222,999,I,60.32
332,MP08LH0332,IMALIA,1979,Local,Katni,TE,10.28,899,,616,244,518,I,33.53
333,MP08MH0333,AMARPUR,1979,Local,,T E,18.23,499.85,,83,274,,I,687.98
334,MP08LH0334,PIPAALIYA,1979,Local,Khandwa,TE,12.05,517,-,717,280,634,I,45.49
335,MP08LH0335,JULWANIA,1979,Local,Dhar,TE,11.4,850,-,748,290,663,I,64
336,MP08MH0336,CHITRON,1979,Local,Shahdol,TE,16.6,480,,1110,306.46,932,I,71.54
337,MP08LH0337,BUDDI,1979,Buddinala,Betul,TE,10.05,649.39,1358,1358,319,955,I,51.08
338,MP08MH0338,LASUR TANK,1979,Local,Mandsaur,TE,16.55,457.32,-,1200,321,1028.44,I,99
339,MP08MH0339,CHIKHALI,1979,Local,Multai,TE,19.2,160,,1682,335,1531,I,73.17
340,MP08LH0340,THANI,1979,Local,Athner,TE,14.48,690,,950,338.8,870,I,58.97
341,MP08LH0341,RAMPATAN,1979,,,TE,11.31,905,,1010,348,864,I,71.57
342,MP08LH0342,UTEKHEDA,1979,Local,Barwaha,TE,12.09,664,-,1200,363,1046,I,73.45
343,MP08LH0343,AMBAKHAL,1979,Local,Khandwa,TE,10.31,615,-,876,368,728,I,49
344,MP08LH0344,MATHNI,1979,Local,Mathni,TE,11.97,624.84,,992,409.7,913,I,45
345,MP08MH0345,AWALIA,1979,Local,Dhar,TE,18.56,240,-,562.32,481,491.17,I,1764
346,MP08MH0346,SHER,1979,Local,Sidhi,TE,17,180,3260,3532,506,2997,I,38
347,MP08LH0347,JALPANI,1979,Local,Mandla,T E,14.94,780,,782,526.23,656,I,53.15
348,MP08LH0348,JHIRIKHAPA,1979,Local,Multai,TE,14.05,390,,1950,528,1740,I,58.4
349,MP08LH0349,SHOBHAPUR,1979,Local,Shahpur,TE,10.36,1079,,1382,535,1278,I,46.27
350,MP08LH0350,BARBET NO. 2,1979,Local,Jhabua,TE,14.02,854,-,1748,537,1568,I,81.19
351,MP08LH0351,JHAREGAON,1979,Local,Betul,TE,10.66,625,,1332,543,1202,I,51.26
352,MP08MH0352,JANTIPUR,1979,Local,Mandla,T E,18.45,876,,1570,566.8,1390,I,36.4
353,MP08MH0353,MANDWAJHIRI,1979,Mandal,,TE,19.28,1021,-,1630,576.5,1547,I,85.81
354,MP08LH0354,GAWALA,1979,Local,Barwaha,TE,11.68,168,-,1975,632,1690,I,157
355,MP08LH0355,GYARASPURA,1979,Local,Sehore,TE,12.8,1127.76,-,3164,787.8,3114,I,1645
356,MP08LH0356,HEDAPURA,1979,Local,N'Garh,TE,13.8,953,-,2134,862,2060,I,80
357,MP08MH0357,BASNI,1979,Local,Damoh,TE,15,676,-,857,1030,793,I,31.5
358,MP08LH0358,PUTLIWAR,1979,Local,Shivpuri,TE,13.51,129.57,-,5250,1494.4,4950,I,58.34
359,MP08LH0359,GONDA,1979,Local,Satna,TE,11,823,-,480,1620,387,I,26.6
360,MP08MH0360,MAJHGAON,1979,Local,,T E,19.2,617.18,_,8200,1627.71,7400,I,79.3
