"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
211,MP08HH0211,BILA,1973,,,TE,30.02,1432.56,-,55700,10740,51980,I,447.9
212,MP08LH0212,RAJENDRA SAGAR,1973,Local,Tikamgarh,TE,14.02,2724,-,18460,,16990,I,141.6
213,MP08MH0213,PONDI,1974,Local,Sidhi,TE,15.34,488,2420,2583,120,2423,I,81
214,MP08LH0214,BHIMPUR,1974,Local,Chicholi,TE,14.16,558,,858,253,791,I,53.8
215,MP08LH0215,GONDHIDHANA,1974,Local,Shahpur,TE,14.08,681,,1616,369,1515,I,59
216,MP08MH0216,BURLAI,1974,Local,Shajapur,TE,20.72,821.6,88,2860,673,2426,I,127
217,MP42MH0217,MADHWANI (NCFL),1974,Local,Sidhi,TE,15.43,438,-,3144,790,2727,-,26
218,MP08MH0218,BELHA,1974,Local,Sidhi,TE,23.77,312,3140,3651,975,3396,I,108
219,MP08LH0219,LALIYACHAPAD,1974,Local,M'leshwar,TE,11.39,507,-,640,1960,592,I,47
220,MP08MH0220,BANIGANJ,1974,Beni,Khajuraho,TE,22.03,3000,340,27580,7620,26220,I,244
221,MP08HH0221,GURMA,1974,Local,Rewa,TE,33.5,3762,-,3920,9550,3609,I,982.72
222,MP08MH0222,AMADEHI,1974,,,TE,23.41,140,286.51,633,,,I,58.08
223,MP08LH0223,BANDRI,1974,,,TE,12,1048,,,,,,
224,MP08LH0224,KANKARPURA,1975,Local,Mhow,TE,10.67,810,-,623,220,583,I,38.85
225,MP08LH0225,BARODIA,1975,Local,N'Garh,TE,12.19,2506,-,6223,238,5827,I,37
226,MP08MH0226,NIBUHA,1975,Local,Sidhi,TE,20.42,82,1620,1789,255,1636,I,50
227,MP08MH0227,FATEHPUR,1975,Local,Rajgarh,TE,17.1,640,-,808,257,736,I,48
228,MP08LH0228,AMUA,1975,,Satna,TE,10.36,811,-,1121,349,1001,I,40
229,MP08LH0229,BISONIA,1975,Local,Biaora,TE,12.19,549,-,2094,607,1921,I,88
230,MP08LH0230,BAMRAHA,1975,Local,Sidhi,TE,14,298,3960,4199,761,3954,I,31
231,MP08MH0231,KARMODIA,1975,Barna,Raisen,TE,16.06,286.5,,5288,770,4558,I/F,6825
232,MP08MH0232,ATARI,1975,Local,Rewa,TE,19.15,720,-,226,929,188,I,71.11
233,MP08LH0233,BAGHA NALLA,1975,Local,Chhatarpur,TE,10.82,1220,-,2323,971,2150,I,56
234,MP08MH0234,BICHHIA,1975,Local,,T E,26.53,1579,_,8510,1536.6,7900,I / WS,180
235,MP42MH0235,AMJHARI (NCFL),1975,Local,Sidhi,TE,16.56,356,-,1345,2170,1246,-,56
236,MP08MH0236,DEVENDRA SAGAR,1975,Local,Panna,TE,18,3513,-,12850,2460,12080,I,280
237,MP08MH0237,KETHAN,1975,Kethan,Vidisha,TE,25.36,900,280,19157,3690,17574,I,226
238,MP08MH0238,S. ASHOK SAGAR,1975,Halali,Vidisha,TE,29.56,945,678.27,25270,52590,22700,I/W,642
239,MP08HH0239,BARNA,1975,Barna,Raisen,PG,47.7,94.5,-,539000,77000,455800,I/F,8825
240,MP08LH0240,HATUPUR,1975,Local,Panna,TE,12.8,705,-,1240,-,1073,I,70.36
