"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
151,RA11LH0151,DORAI,1995,Banas,Begun,TE,16.77,1186,NA,8500,1950,8260,I,657
152,RA11MH0152,BHAMRI  TANDI,1996,Local Nalla,Banswara,TE,20.5,464,NA,2500,530,2260,I/S,157
153,RA11MH0153,BILAS,1996,Bilas,Kishanganj,TE,20.74,3750,NA,28800,6500,26700,I,1812
154,RA11LH0154,PITHA KA MUND,1997,Local Nalla,Mandalgarh,TE,11.7,871,NA,1890,4430,1019,I,144.98
155,RA11MH0155,KALINJARA,1997,Local nallah,Kushalgarh,PG,26.11,51,NA,9590,1865,9290,I,429
156,RA11LH0156,SANWARIYA SAROWAR,1986,Local Nalla,Chittorgarh,TE,11.08,2360,NA,5408,3024,5180,I,512
157,RA11MH0157,JUDE KA NAKA,1999,Local Nalla,Bhilwara,TE,18.7,1010,NA,1780,500,1720,I,257.05
158,RA11LH0158,MOTIPURA,1999,Local nallah,Bhilwara,PG,14.65,850,NA,1170,430,1110,I,164.82
159,RA11LH0159,BARI MANSAROWAR,1999,Local nallah,Chittorgarh,TE,19.5,363.25,NA,9482,3740,8419,I,661
160,RA11HH0160,BISALPUR,1999,Banas,Deoli,PG,39.5,574,NA,1095840,218360,1040950,I/S,29046
161,RA11LH0161,NAVRATAN  SAGAR,2000,Local nallah,Jahazpur,TE,12.2,1158,NA,2260,6382,2040,I,389
162,RA11LH0162,KANTALIYA,2000,Nekhadi,Asind,TE,11.35,305,NA,1020,424,906,I,546.34
163,RA11LH0163,KANOTA,2001,Dhoond,Kanota,TE,22.57,125,NA,14150,NA,12450,I,1009
164,RA11MH0164,HIMMATGARHI,2002,Local Nalla,Banswara,TE,15.38,589,NA,1850,287,1600,I,147
165,RA11MH0165,RUPAREL,2004,Ruparel,Begun,TE,18.5,1130,NA,9700,1950,8740,I,654
166,RA11MH0166,CHAULI,2005,Chauli,Pirawa,TE,27.65,2225,NA,53500,12270,48220,I/S,1284
167,RA11HH0167,CHHAPI,2006,Chhapi,Aklera,PG,42.8,310,NA,82500,10250,73500,I,4370
168,RA11MH0168,SUKLI SELWARA,2008,Sukli,Revdar,TE,18,4514,1076,29523,8371.6,25583,I/S,2909
169,RA11MH0169,BANDI SANDHARA,2008,Bandi,Bhinmal,TE,19,2704,1176,28670,6195.2,25980,I/S,2942
170,RA11MH0170,LASSARIA,1982,Dai,Kekri,TE,20.15,4325,NA,11500,2640,10650,I,2320
171,RA11MH0171,UDAI SAGAR,ST,Berach,Girwa,PG/TE,24.4,315,NA,31130,7700,27590,I,125
172,RA11LH0172,UNCHA,ST,Local nallah,Chittorgarh,TE,14,1800,NA,2605,1175,2515,I,65
173,RA11MH0173,SONARIA,1997,Local nallah,Kushalgarh,TE,23.95,620,NA,4250,564,3770,I,233
174,RA11LH0174,MUNDLIYA  KHERI,ST,Local Nalla,Jhalawar,TE,12.5,1890,NA,4420,2340,4370,I,395.26
175,RA11LH0175,JAISAMAND,ST,Banganga,Alwar,PG,10.06,1671,NA,25540,10000,23510,I,410
176,RA11LH0176,SONIYANA,ST,Local nallah,Chittorgarh,TE,10.9,2213,105,6800,2920,6226,I,725
177,RA11LH0177,NAHAR SAGAR,ST,Khari,Shahpura,TE,10.67,4685,NA,24690,15500,24520,I,1414
178,RA11LH0178,BANKALI,ST,Sukhri,Ahore,TE,11.7,5349,NA,34500,4190,34500,I,4044
179,RA11MH0179,BORDA,1967,Local nallah,Ghatol,TE,13.38,1905,NA,5040,3010,4140,I,260.55
