Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1,MH09LH0001,DHAMAPUR,1600,Local Nallah,Malvan,TE,11,271,2687,2867,1150,2441,I,9.85
2,MH09LH0002,RUSHI,1800,Local Nallah,Karanja,TE,11.31,,,3267,,,I,
3,MH09LH0003,MUDANA,1800,Local Nallah,--,TE,11.47,637,,,,,I,
4,MH09LH0004,KALAPVIHIR,1800,Local Nallah,Kalapvihir,TE,14.04,810,,,,,I,
5,MH09MH0005,VIHAR,1860,Vihar,Bombay,TE,25.6,817,353,41459,7270,41410,S,
6,MH09LH0006,AMBAZARI,1870,Local Nallah,Nagpur,TE,13.71,952.51,,8370,,,S,
7,MH09MH0007,EKRUKH,1871,Adela,Northsolapur,TE,21.45,2360,130,61170,,61170,I/S,1239
8,MH09MH0008,MAYANI,1872,Chand,Khatav,TE,18,1098,1802,1460,1530,1450,I,1384
9,MH09MH0009,MUKTI,1873,MuktiNalla,Dhule,TE,21.2,686,850,9900,,9090,I,914
10,MH09LH0010,RANKALA,1877,Local Nallah,Kolhapur,TE/PG,13.5,3622,,4350,1052,2710,I,116
11,MH09MH0011,SHIRSUFAL,1879,Local Nallah,Baramati,TE,20.11,741,,10100,1601,9520,I,112
12,MH09MH0012,TULSHI,1879,Tulshi,Bombay,TE/PG,26,186,,10429,1350,10273,S,640
13,MH09HH0013,KHADAKWASLA,1880,Mutha,Haveli,TE/PG,32.9,1539,1170,86000,14800,56000,I/S,2755
14,MH09MH0014,ASHTI,1883,Ashti,Mahal,TE,17.6,3871,,40000,,23000,I,1359
15,MH09MH0015,PARSUL,1884,Parsul,Malegaon,TE,18.9,1154,361,3960,760,3340,I,403
16,MH09LH0016,SHANIMANDAL,1885,Shanimandal,Nandurbar,TE,10.5,1270,189,3307,,2902,I,
17,MH09MH0017,MHASWAD,1887,Man,Man,TE,24,2473,,47880,16251,46210,I,4321.41
18,MH09MH0018,NHER,1889,Yerala,Khatav,TE,22.5,1470,1366,9120,3251,1170,I,1478.96
19,MH09MH0019,BHATODI,1892,Mehekari,A'Nagar,PG,15.24,706,,1050,849,570,I,760
20,MH09HH0020,TANSA,1892,Tansa,Bombay,TE/PG,41,2804,2670,208700,19.1,184600,S,1188.6
21,MH09MH0021,SHETFAL,1901,Shetfal Nalla,Indapur,TE,20.11,3211,173,17360,3498,1693,I,
22,MH09LH0022,WADSHIVANE,1902,Local Nallah,Karmala,TE,14.56,984,,4350,,4260,I,293
23,MH09MH0023,KHAIRBANDHA,1903,Fattepur,Gondia,TE,18.16,2205,243.52,16798,4147,15953,I,363.3
24,MH09LH0024,KHIRDISATHE,1904,Nardi,Yeola,TE,13.11,765,93,3200,1141,2010,I,94
25,MH09MH0025,PATHARI,1905,Local Nallah,Barshi,TE,18.43,2070,,11880,,11620,I,512
26,MH09LH0026,KUMBHALI,1907,Chulbandh,Sakoli,TE,11,1330,,760,1.34,740,I,27.76
27,MH09LH0027,PAWANPAR,1909,Local Nallah,Shindewahi,TE,10.36,884,180,4720,1269,4470,I,146
28,MH09HH0028,CHANKAPUR,1911,Girna,Kalwan,TE,41,3705,2123,79690,10320,76850,I,2237
29,MH09MH0029,GOREWADA,1911,Local Nallah,Nagpur,TE,17.37,710,,8840,1920,,S,
30,MH09LH0030,GADMOSHI,1912,Local Nallah,Shindewahi,TE,11.64,430,570,2440,880,2300,I,41
