"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
361,MP08MH0361,BHAISAKHEDI,1979,Kalisindh,Ujjain,TE,17.72,1275,-,7560,2510,5110,I,200
362,MP08HH0362,KANCHAN,1979,,Sidhi,TE,40.27,232,25420,25450,5150,21850,I,485
363,MP08LH0363,MOLIPURA,1979,Local,Dhar,TE,12.8,690,-,384.3,-,301,I,32.87
364,MP08LH0364,PHUGAWADI,1980,Local,Dhar,TE,13.11,1275,-,3198,112,2838,I,125
365,MP08MH0365,PATHARI,1980,Local,Sausar,TE,16.48,313.25,60.32,550,119,540,I,57
366,MP08MH0366,CHHAPANI,1980,Local,Anuppur,TE,18.78,645,579,495,140,420,I,45.36
367,MP08LH0367,KILODA T. PROJECT,1980,Local,Dewas,TE,12.13,530,-,670,159,-,I,45.02
368,MP08MH0368,MEHRA KHAPA,1980,Local,Sausar,TE,23.48,210,88.55,943,208,841,I,66.56
369,MP08MH0369,GADAGHAT,1980,Local,Damoh,TE,16.78,440,-,710,240,660,I,34.8
370,MP08LH0370,BHIKUND,1980,Local,Bhainsdehi,TE,12.81,518,,919,241.6,849,I,49.7
371,MP08MH0371,BUCHKI,1980,Local,Shahdol,TE,17.15,432,-,960,242,875,I,56.46
372,MP08MH0372,UPPER BALWADA,1980,Local,Barwaha,TE,17,600,-,1880,268,1620,I,93
373,MP08MH0373,KIRMALA,1980,Local,Barwani,TE,15.58,384,-,1600,270,780,I,65
374,MP08LH0374,HUMNAPATH,1980,Local,Multai,TE,11.12,480,,1050,276,979,I,47.5
375,MP08MH0375,AMBABAROD,1980,Local,Shajapur,TE,17.84,289.16,4.2,1017,277,911,I,67
376,MP08MH0376,UMARIYA,1980,Local,Shahpur,T E,18.1,310,_,1147,280,1087,I,40
377,MP08MH0377,KUTDHAR,1980,Local,Shahpur,T E,17,288,_,1289,289,1210,I,49
378,MP08MH0378,KOHPANI,1980,Local,Mandla,T E,15.33,667,,980,300,867,I,55.55
379,MP08LH0379,MOLIYAKHEDI,1980,Local,Shajapur,TE,12.25,930,75,565,300,499.21,I,34
380,MP08LH0380,FATEPUR,1980,Local,Mandla,T E,12.74,381,_,1224,327.9,1196,I,90.14
381,MP08MH0381,KOHRU,1980,Local,Dhar,TE,21.2,170,-,1282,364,1074.56,I,101
382,MP08LH0382,BARDEVLA,1980,Local,Barwaha,TE,11.48,480,-,1440,380,1011,I,54
383,MP08MH0383,DONGERGAON,1980,Local,Sausar,TE,18.74,396,144.12,2055,388,1725,I,84.11
384,MP08MH0384,RAJDHANA,1980,Local,Amarwara,TE,17.5,1080,146.38,1267,405.2,1192,I,67.57
385,MP08MH0385,NAKHERI,1980,Local,Mhow,TE,26.54,480,-,3260,425.1,2231,I,185
386,MP08LH0386,SARADEH,1980,Local,H'bad,TE,14.9,518,-,1540,450,1428,I,51
387,MP08LH0387,SIDOLI,1980,Local,Shahdol,TE,11,930,-,4825,450,,I,56.4
388,MP08LH0388,KATKIYA,1980,Local,Indore,TE,12.46,1966.5,-,567,464.8,534,I,49.5
389,MP08MH0389,LAKHAPUR,1980,Local,Betul,TE,23.77,148,,1959,484,1803,I,78.76
390,MP08LH0390,PIPLIYAPADA,1980,Local,Dhar,TE,14.63,735,-,1626,513,1464,I,105
