Sl   No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam 'E',Latitude of dam 'N',Year of completion,River,Nearest city,seismic zone,Type of dam,Height above lowest foundation (m),"Length of dam
(m)",Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir Area
(103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
67,AP01LH0071,"Aakammacheru,
Jinnaram",,"78? 20' 10""","17? 37' 13""",1966,Local Stream,Narsapur,,TE,10.2,915,,,1105.8,,I,31
68,AP01MH0072,Jutepally Project,,"77? 30' 0""","17? 08' 30""",1966,Jutepallivagu,Hyderabad,,TE,22,1177,30,8750,1596,7938,I,336
69,AP01HH0073,"Guntavada Weir
(S.H.E.S)",,"82? 01' 00""","18? 03' 00""",1967,Sileru,Visakhapatnam,,PG,31,625,-,122740,-,88220,I,10933
70,AP01MH0074,Nallavagu,,"77? 44' 30""","18? 19' 40""",1967,Nallavagu,Medak,,TE,19,1936,-,21145,13517,18532,I,1136
71,AP01MH0075,Lakhnapur Project,,"78? 37' 51""","17? 02' 30""",1968,,Pargi,,TE,15.85,1263,_,8630,410,7943,I,283.2
72,AP01LH0076,Lankasagar,,"80? 43' 0""","17? 10' 0""",1968,Kuttalair,Khammam,,TE,13,-,-,18842,-,17290,I,850
73,AP01HH0077,Mid Pennar Stage-I,,"77? 24' 30""","14? 52' 30""",1968,Pennar,Anantapur,,TE/PG,43,1175,398,146260,17108,136906,I,5274
74,AP01HH0079,Thatipudi,,"83? 11' 40""","18? 10' 19""",1967,Gosthani,Vizayanagaram,,TE,37,585,-,94164,-,88040,I,1513
75,AP01MH0080,"Chennaraya Swami
Gudi Project",,"78? 10' 50""","13? 51' 48""",1969,Papagni,Ananthapur,,TE,15,465,-,4818,1057,4477,I,901
76,AP01MH0081,"Kotipally Vagu
Project",,"77? 45' 0""","17? 21' 03""",1969,Kotepallyvagu,Hyderabad,,TE,26,2189,-,44575,-,36924,I,1449
77,AP01MH0082,Pampa Reservoir,,"82? 19' 00""","17? 33' 00""",1979,Pampa,Kakinada,,TE,15,1128,-,15983,4721,15787,I,1400
78,AP01HH0083,Kinnerasani Project,,"80? 40' 0""","17? 41' 0""",1971,Kinnarasani,Khammam,,TE,38,2315,-,238048,26227,2077441,S,5668
79,AP01MH0084,Nagurur,,"77? 17' 30""","15? 30' 12""",1971,,Kurnool,,TE,28.05,800,NA,1140,32.58,1140,I,-
80,AP01LH0085,"Pedda cheru,
Ameenpur",,"78? 20' 00""","17? 31' 20""",1971,Local Stream,Patancheru,,TE,10.35,1402,-,,-,1432,I/H,60
81,AP01MH0086,"Pedderu Reservoir
Project",,,,1971,,Kurnool,,TE,29.3,590,_,15850,200,14980,I,3171.45
82,AP01MH0087,"Bahuda Reservoir
Project",,"78? 38' 00""","13? 32' 00""",1974,,Madanapalle,,TE,20,792,_,11100,200,10100,I,849
83,AP01MH0088,Bethampudi Tank,,"80? 52' 00""","17? 13' 0""",1974,Bethampudi,Kothagudam,,TE,18.59,200,,11102,,4792,S,346
84,AP01VH0089,"Nagarjuna Sagar
Project",,"79? 18' 0""","16? 36' 8""",1974,Krishna,Hyderabad,,TE/PG,124.66,4865,7985,11561000,284900,5733312,I/H,42476
85,AP01LH0090,"Vyasasamudram
tank",,"78? 08' 21""","13? 43' 30""",1974,,Thirupathi,,TE,11.29,840,_,6580,5400,6580,I,169.1
86,AP01LH0091,Bukkapatnam Tank,,"77? 47' 20""","14? 11' 20""",1975,,Bukkapatnam,,TE,14,6017,-,19914,10889,15319,I,567.36
87,AP01MH0092,C.K.Reservoir,,,,1975,Gundlakamma,Y.Palem,,TE,17,178,,4813,,4813,I,
88,AP01LH0093,Dngaon Project,,"78? 18' 58""","19? 38' 08""",1975,,Nirmal,,TE,14,1753,NA,3468,-,3121,I,345.47
