"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
541,MP08LH0541,MOTIPURA,1984,Local,Ujjain,TE,11.8,840,-,850,269,776,I,62
542,MP08MH0542,UMARIA,1984,Local,Tamia,TE,25.15,1020,138.22,1285,280.8,1201,I,48.7
543,MP08LH0543,DUNGUNA,1984,Local,Karera,TE,14.08,206,-,2350,300,1830,I,184
544,MP08MH0544,LAPTI,1984,Lapti,Anuppur,TE,17.13,960,1508,1508,312,1442,I,38.87
545,MP08MH0545,SURAJPURA,1984,Local,Jhabua,TE,17.1,295,-,1339,314,1194,I,85
546,MP08MH0546,TILDHA,1984,Local,Sidhi,TE,20.84,609.6,1150,1146,320,1026,I,57.3
547,MP08MH0547,HARRATOLA,1984,Butti,Anuppur,TE,21.03,405,1684,1420,372.3,1230,I,90.4
548,MP08LH0548,SARANGPUR,1984,Local,Katni,TE,12.04,805,-,880,380,759,I,75.05
549,MP08LH0549,LONGERPURA,1984,Local,Bhopal,TE,11.26,253.44,87,1315,387,1222,I,56.37
550,MP08LH0550,KAROND,1984,Local,Khandwa,TE,11.42,586,-,1162,390,1028,I,79
551,MP08LH0551,GUDDIKHEDA,1984,Local,H'bad,TE,12.45,960,-,1570,394,1488,I,44
552,MP08LH0552,KALAPAT,1984,Local,Khandwa,TE,14.91,366,-,1825,450,1630,I,86
553,MP08LH0553,NARAWALA,1984,Local,Barwani,TE,14.75,456,-,2277,601,1926,I,240
554,MP08LH0554,SHAMPUR,1984,Local,Sehore,TE,14.4,1195.73,-,1880,603,1767,I,63.62
555,MP08LH0555,GURADIA ROOPCHAND,1984,Local,Sehore,TE,10.97,1050,-,1725,631,1608,I,55.46
556,MP08LH0556,MOONDLA,1984,Local,Sehore,TE,10.97,1127.76,-,1727,650,1589,I,66.62
557,MP08MH0557,GARRA,1984,Local,Sidhi,TE,15.8,465,2360,1689,685,1363,I,699
558,MP08MH0558,HIRAPUR,1984,Local,Sagar,TE,15.68,762.19,-,1588,742,1488,I,
559,MP08LH0559,CHANDOOR,1984,,,TE,14.93,434,-,3333,749,3054,I,120
560,MP08LH0560,BHARRA,1984,Local,Sidhi,TE,10.2,210,520,6210,890,5270,I,50.91
561,MP08MH0561,SUKHA NALLA,1984,Local,Guna,TE,15.61,450,-,2582,1034,2422,I,120.44
562,MP08MH0562,SONKHEDI,1984,Local,Betul,TE,16.9,1116,,5456,1400,4595,I,283
563,MP08MH0563,PADLIYA,1984,Local,Barwaha,TE,16.02,825,-,7390,1449,5430,I,298
564,MP08MH0564,KHOR,1984,Local,Dhar,TE,19.9,420,-,3110,5111,2780,I,269
565,MP08HH0565,DHOLAWAD,1984,Local,Ratlam,TE,36.86,1360,-,54267.5,5972,49916,I/WS,1473
566,MP08MH0566,PEHSARI,1984,Mower,Gwalior,TE,24.05,2150,-,44250,-,16920,I / WS,292
567,MP08MH0567,HARRANBHATA,1985,Local,Amarwara,TE,18.64,255,95.18,1740,38.89,1280,I,163.3
568,MP08MH0568,PANPURA,1985,Local,Dhar,TE,21.7,1115,-,734,67.82,652.78,I,87
569,MP08MH0569,JAMUNIA TOLA,1985,Local,Mandla,T E,15.79,162,_,897,162,809,I,58.9
570,MP08MH0570,DHANGAON,1985,Local,Niwas,T E,15.02,335,,920,170,870,I,32
