"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
481,GJ04HH0481,JHUJ,1988,Kaveri,Navsari,PG,45.46,840,2233,28650,3560,27580,I,1515
482,GJ04MH0482,KALAKHETRA,1988,Wangha,Khedbrahma,TE,18,135,15,487,,430,I,90
483,GJ04MH0483,KHAMBHADA,1988,Utavali,Dhandhuka,TE,17.85,3700,664.06,8480,,6940,I,1817
484,GJ04MH0484,KOJAN,1988,Local Wanga,Himmatnagar,TE,21,3700,23,3315,,3115,I,1816
485,GJ04LH0485,KOTADIA,1988,Local Voklo,Khambhalia,TE,12.5,121,2000,2000,,1730,I,550.19
486,GJ04MH0486,LAKHAPADAR,1988,Shell,Dhari,TE,24.14,1285.67,379,4003.68,1950,3904.8,I,951.28
487,GJ04MH0487,MAMASI,1988,Mamasio,Talaja,TE,15.25,539,1378,1378,456,1378,I,193
488,GJ04MH0488,RANALA,1988,Ranala,Dhari,TE,17.68,358.23,93,1355.42,660,1163.4,I,208.15
489,GJ04LH0489,UMARALA,1988,Local Voklo,Kalavad,TE,14.8,80,1600,1600,,1340,I,387.94
490,GJ04MH0490,UND I,1988,Und,Jamnagar,TE/PG,25.45,6198,2020,71880,10960,64860,I & S,18215
491,GJ04LH0491,VEKARI,1988,T/Bhadr,Gondal,TE,11.6,1160,77,3106,1412.6,2393,I,963.46
492,GJ04HH0492,VENU II,1988,Venu,Upleta,TE/PG,31.05,3336,320,22580,6250,18800,I,6994
493,GJ04MH0493,AJI III,1989,Aji,Padadhari,TE/PG,25,7883,894,61950,14016,57200,I & S,6936
494,GJ04MH0494,DEMI II,1989,Demi,Tankara,TE/PG,16.2,3675,370,21380,10261,19960,I,5121
495,GJ04LH0495,DHANSARVAV,1989,Kotar,Halol,TE,12.19,2025,775.78,1990,66.84,1126,I,225.25
496,GJ04HH0496,DHARIYA,1989,Kotar,Halol,TE,44,227,1028.76,2010,3811,1773,I,219
497,GJ04MH0497,HATHMATI,1989,Hatmati,Himmatnagar,TE,23.62,993,1189,152830,28392,148930,i,2943
498,GJ04MH0498,MACHHU II,1989,Machhu,Morbi,TE/PG,20,5210,2447,100550,3962,90790,I & S,26425
499,GJ04HH0499,MADHUBAN,1989,Damanganga,Valsad,TE/PG,58.6,2870.36,11838,567000,43680,502000,"I,H,C,",26850
500,GJ04LH0500,MOTI-KUNDOL,1989,Local Kotar,Gadhara,TE,14.5,117,,1310,,1140,I,164
501,GJ04LH0501,SOD VADAR,1989,T/Bhadr,Jam Kan.,TE,14.1,1410,189,2070,1200,1860,I,350.07
502,GJ04MH0502,EDALWADA,1990,Naleshwar,Limkheda,PG,21.42,154,7800,11330,1980,10500,I,1032
503,GJ04MH0503,FATEHGADH,1990,Malan,Rapar,TE,17.13,4130,4130,7445,8520,6630,I,280.4
504,GJ04HH0504,GUHAI,1990,Guhai,Himmatnagar,UG,43.07,3380,1961.43,68750,1713,61160,I,5787
505,GJ04HH0505,HARNAV II,1990,Harnav,Vijaynagar,UG,41.65,405,347.23,21670,2685,19970,I,2140
506,GJ04LH0506,LALOI,1990,Fulzer,Kalavad,TE,13,80,1980,1980,,1880,I,189.21
507,GJ04MH0507,MANARI,1990,Manari,Talaja,TE,18.41,715.22,3100,3100,1240,3100,I,
508,GJ04MH0508,MANEKNATH,1990,T Of Sabarmati,BK,TE,15.1,260,,310,396,274,I,67.97
509,GJ04MH0509,PANCH DEVDA,1990,Baren,Kalavad,TE,15.4,93,2580,2580,,2470,I,280.19
510,GJ04MH0510,SHENI,1990,Shena,Savarkundla,TE,16,333,44,224,12390,191,I,73
