"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
211,GJ04LH0211,KADA TANK,1971,Kotar,Bodeli,TE,12,595,,1108,345,1046,I,
212,GJ04HH0212,LODRANI,1971,Lodrani,Rapar,TE,30.6,975,990,1420,,1420,I,492.16
213,GJ04LH0213,MESHWO,1971,Meshwo,Shamlaji,TE,14.32,167.14,36.61,5313,11160,49970,I,1274
214,GJ04MH0214,NANDASAR,1971,Local River,Rapar,TE,15.54,2316.94,224.16,2681,612.41,2270,I,501.78
215,GJ04MH0215,ZINZRI,1971,Kotar,Ghoghmba,TE,19.5,432,403.3,2236,,2236,I,231
216,GJ04LH0216,BAMATHIA-1,1972,Local Stream,Jamjodhpur,TE,14,1342,,449,,449,I,135
217,GJ04MH0217,DHARI,1972,Sukhbhadar,Chotila,TE/PG,29.28,909,212,3398,1859,2775,I,651
218,GJ04LH0218,FATEHGADH (M),1972,Fatehgadh,Rapar,TE,13.4,1378,529,3230,,3230,I,321
219,GJ04MH0219,FODARANESS,1972,Bhersanwan,Ranavav,TE,26.45,3350,,23643,6502,22250,S,7200
220,GJ04MH0220,GOMA,1972,Goma,Botad,TE,20.87,3083.48,3407.77,26110,9620,24590,I,1189
221,GJ04MH0221,RAMGADBO,1972,T/Demi,Wankaner,TE,17.07,1707,33,870,600,770,I,192.44
222,GJ04HH0222,UKAI DAM,1972,Tapi,Songadh,TE/PG,68.58,4926.79,23240000,7497000,600950,6615000,"I,H,C,",1125000
223,GJ04LH0223,VANTHALI,1972,T/Bhadr,Gondal,TE,10,100,53,1040,620,1030,I,209.84
224,GJ04LH0224,ADHOI-I,1973,Adhoi,Bhachau,TE,11.95,783,100.48,1540,470.9,1248,I,212
225,GJ04LH0225,BUTTA,1973,Local Stream,Kachchh,TE,12.2,668,264,1690,,1440,I,410
226,GJ04MH0226,CHANDRABHAGA,1973,Chandrabhaga,Dhangadra,TE,15,1982,,4316,,3715,I,805
227,GJ04LH0227,JAGADI,1973,Local Stream,Jamnagar,TE,12.5,1306,,1642,,1642,I,588
228,GJ04LH0228,KHANDI,1973,T- Narmada,Naswadi,TE,10.89,148,53.72,1100.82,556,841.97,I,107.7
229,GJ04MH0229,KUNARIA,1973,Bhuj,Kachchh,TE,17.1,828,300,1050,382,1050,I,191
230,GJ04MH0230,MANKUWA,1973,Khari,Kachchh,TE,15.6,332,199,890,,750,I,303
231,GJ04MH0231,MEWASA,1973,T/Sukhbhadar,Chotila,TE,16,640,,2458,,2137,I,467
232,GJ04MH0232,SARIYAMATI,1973,T/Bhadr,Jetpur,TE,23,2312,189,4870,1680,4340,I,575.33
233,GJ04MH0233,SENJAL,1973,Fulzer,S.Kundala,TE,16.79,336,79,1000,300,1000,I,218.91
234,GJ04LH0234,SEVANIYA,1973,Kotar,D.Baria,TE,10,610,113.15,540,375,510,I,31
235,GJ04LH0235,MAPAR,1973,Mandvi,Kachchh,TE,12.55,1280,219,850,327,800,I,206
236,GJ04LH0236,TARGOL,1973,Kotal,Bodeli,TE,13.72,383,,2830,810,2540,I,
237,GJ04MH0237,VANALA,1973,Khari,Jasdan,TE,15.5,477,,623,,623,I,133
238,GJ04MH0238,BAMANBORE,1974,T/ Machhu,Chotila,TE,15,286,,2089,,1840,I,382
239,GJ04LH0239,BENDIYABELI,1974,Maha,Chotila,TE,12,810,,2637,,2257,I,554
240,GJ04LH0240,BHADRESHWAR,1974,Bhadareshwar,Mundra,TE,14,2420,,3527,,2962,I,1172
