Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
121,KA06LH0121,Mukherthihal Tank,1979,Mukherthihal,Bijapur,PG.TE,10.41,852,73.46,1454,570.2,1445.6,I,130.63
122,KA06MH0122,Prakruthi Tank,1979,Gundirehalla,Molakalmuru,TE,16.17,840,453.8,7180,1602.6,8690,I,379.55
123,KA06LH0123,Ronihal Tank,1979,Ronihalla,Bijapur,PG.TE,13.02,689,61.38,1353.38,486,1218.5,I,248.25
124,KA06MH0124,Seegehalla Tank,1979,Seegehalla,Shimoga,TE,16.5,660,162.33,3000,600,2900,I,84.5
125,KA06HH0125,Tattihalla Dam,1979,Kali Nadi,Dandeli,"PG,TE",44,1337.04,836,264030,27000,249260,H,4960
126,KA06MH0126,Arbenchi Tank,1980,Arbenchi Nala,Ramadurga,TE,17.65,312,169.58,1570,203,1270,I,116
127,KA06LH0127,Devaramardikere,1980,Suvarnamukhi SS,C.N.Halli,TE,10.67,407,170,1410,745,1270,I,143.16
128,KA06HH0128,Gundal Dam,1980,Gundal,Kollegala,TE,31.55,1219,171.86,27438.8,2410,23220,I,467
129,KA06LH0129,Kunigal Thimmanahalli,1980,Thimmanahalli nala,Tumkur,TE,14.2,330,133.9,2170,720,1960,I,102.5
130,KA06HH0130,Savehakalu Dam,1980,Savehaklu,Shimoga,TE,53,633,1578,124970,9400,66970,H,500
131,KA06MH0131,Tegampur Tank,1980,"Local, Manjara, Godavari",Bidar,TE,23.36,780,129.89,4039,860,3636,I,43.5
132,KA06LH0132,Appenahalli Tank,1981,Krishna /T.Bhadra,Kudligi,TE,13.75,525,5362,1782,390,1782,I,199
133,KA06LH0133,Bommanahalli Tank,1981,Bommanahalli,Bijapur,PG.TE,12.7,770,36.58,2548.4,865,2018.84,I,331.3
134,KA06MH0134,Chikkanagaon Tank,1981,Local / Mullamari  (K-6),Gulbarga,TE,15.95,365,92.98,973,216.5,875,I,28
135,KA06LH0135,Ekamba Tank,1981,"Local, Manjara, Godavari",Bidar,TE,13,648,133.86,1836.33,383.71,1654,I,45.28
136,KA06LH0136,Kuvalgi Aheri,1981,Kuvalgi Aheri,Bijapur,PG.TE,13.55,518,42.1,1439,532.8,1296.6,I,35.32
137,KA06HH0137,Narihalla Dam,1981,Narihalla,Sandur,"PG,TE",32.92,295,512.63,22936,2490,20870,"I,S",1237.26
138,KA06LH0138,Chikkalingadalli,1982,Local / Mullamari  (K-6),Bidar,TE,14.48,701.04,425,4255.16,650,3570.37,I,63.47
139,KA06HH0139,Harangi Dam,1982,Harangi,Kushalnagar,"PG,TE",53,845.8,516.63,240690,19000,228560,"I,H",3403
140,KA06LH0140,Jigajinagi Tank,1982,Jigajinagi,Bijapur,PG.TE,11.93,1420,85.11,4043.3,1660,3766,I,221.08
141,KA06MH0141,Kanvikervinkoppa Tank,1982,Local Nala Krishna /,Belgaum,TE,16.76,454,166.42,491.51,207.1,420,I,29.72
142,KA06MH0142,Narayanapura Dam,1982,Krishna,Lingasugur,"PG,TE",29.72,10637.52,,943281,1345000,740000,I,37945
143,KA06MH0143,Alalur Tank,1983,Lakshmanathirtha,Periapatna,PG,17.41,939.6,2.4,2180,460,2070,I,50.18
144,KA06LH0144,Aralihalli Tank,1983,Krishna /T.Bhadra,Hadagali,TE,11.86,1920,29057,3447,2450,3009,I,192.5
145,KA06LH0145,Gowdahally Tank,1983,K.K.Halla,Mysore,TE,13.73,731.5,270.4,2390,60700,2230,I,71.98
146,KA06LH0146,Kyragunda Saddle,1983,Savehaklu,Shimoga,TE,14.5,800,210,12176,**,0.07,H,141
147,KA06LH0147,Talakal Tank,1983,Krishna / T.Bhadra,Hadagali,TE,14.02,1200,5473,1149,650,980,I,68
148,KA06MH0148,Hulikere Tank,1984,Hulikere Nala,Dharwad,TE,21.75,637,3643,5516.5,1300,5015,I,177
149,KA06MH0149,Muchakhandi,1984,Muchakhandi,Bagalkot,PG,18.3,158,11.56,1891.1,3646,1643.5,I,538
150,KA06MH0150,New Tank Amachawadi,1984,Yennehole Stream,Chamarajanagar,TE,15.29,540,4.09,1690,570,1560,I,206.6
