Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
961,MH09LH0961,KATEGAON,1983,Local Nallah,Barshi,TE,10.67,,,1160,,1160,I,206.14
962,MH09LH0962,KHANDALA,1983,Local Nallah,Mehkar,TE,14.6,495,52.17,1290,,1840,I,207.02
963,MH09MH0963,BHUGAON,1983,Local Nallah,Mulshi,TE,21.19,550,216,1900,4221,1800,I,208
964,MH09MH0964,URWADE,1983,Local Nallah,Mushi,TE,23.48,693,246,2000,1000,1900,I,208
965,MH09MH0965,RAMJIWADI,1983,Meena,Junnar,TE,21.48,314,116,1720,245,1550,I,209
966,MH09MH0966,CHAFAL,1983,Local Nallah,Patan,TE,21.5,576,152,1450,452,1320,I,228
967,MH09LH0967,SHELGAON (R),1983,Local Nallah,Barshi,TE,11.45,1155,148,3270,,2690,I,230
968,MH09LH0968,NAGALGAON,1983,Local Nallah,Udgir,TE,13.9,,,1529,46,1407,I,241
969,MH09LH0969,HAWARGA,1983,Local Nallah,Ahmedpur,TE,12.4,105,,1308,558,1178,I,249
970,MH09LH0970,KEHAL,1983,Local Nallah,Jintur,TE,14,437,,1800,,1654,I,255
971,MH09LH0971,PIMPALGAON,1983,Local Nallah,Deulgaon Raja,TE,13.6,586,59.34,1280,,1160,I,255.1
972,MH09LH0972,WANWADA,1983,Local Nallah,Ausa,TE,11.65,1590,,1514,614,1350,I,282
973,MH09MH0973,CHARE,1983,Local Nallah,Barshi,TE,16.5,512.5,1.87,1502.7,421.05,1338,I,286.11
974,MH09LH0974,MAULZARI,1983,Local Nallah,Chandrapur,TE,11.2,1050,114,2439,879,1750,I,293
975,MH09MH0975,KHINDWADI,1983,Local Nallah,Mahad,TE,25.07,415,137.73,2411,35,1848,I,296
976,MH09MH0976,BUBALI,1983,Amati,Surgana,TE,20.9,457,18,1634,249.76,1612,I,322.96
977,MH09LH0977,CHIKKEHALLI,1983,Local Nallah,Akkalkot,TE,11.15,608,18,1890,,1710,I,327
978,MH09MH0978,BHALUR,1983,Saki,Nandgaon,TE,16.58,373,,1360,415,1160,I,349
979,MH09MH0979,LAWAKI,1983,Local Nallah,Shirpur,TE,17.25,295,82,2030,200,2010,I,349
980,MH09LH0980,KEDARPUR,1983,Local Nallah,Nilanga,TE,11.33,107,,2357,889,2142,I,354
981,MH09LH0981,KEKATPUR,1983,Local Nallah,Amarawati,TE,13.76,559,143,2560,565,2330,I,360
982,MH09LH0982,AMDORI,1983,Local Nallah,Chandur Rly,TE,13.3,740,116,2740,321,2530,I,366
983,MH09LH0983,JATEGAON,1983,Local Nallah,A'bad,TE,13.4,877,140,2127,702,1916,I,369
984,MH09LH0984,SAKUR,1983,Wagh,Sangamner,TE,11.9,555,75.28,791,338,594,I,371.84
985,MH09LH0985,KINI,1983,Local Nallah,Bhokar,TE,11.43,1003,,3137,,2000,I,394
986,MH09MH0986,NAIGAON 1,1983,Local Nallah,Khandala,TE,18,800,,1336,2880,1124,I,396.29
987,MH09LH0987,NEWALI,1983,Local Nallah,Latur,TE,10.8,124,,1960,90,1713,I,410
988,MH09MH0988,NAIGAON 2,1983,Local Nallah,Khandala,TE,16.46,520,297,1.21,288,0.96,I,423
989,MH09LH0989,KALAMBWADI,1983,Local Nallah,Barshi,TE,14.7,653,137,710,,590,I,433
990,MH09LH0990,LAMKHANE,1983,Local Nallah,Bhokar,TE,11.58,1350,119,2950,,2690,I,433
