Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
211,MH09LH0211,MASSAJOG,1970,Local Nallah,Kaij,TE,14.17,1136,,2705,862,2495,I,335
212,MH09LH0212,SANGRAMPUR,1970,Kumbhari,Tirora,TE,14.18,451.21,78,4320,14.23,3860,I,354
213,MH09MH0213,RANSAI,1970,Vindhane Nalla,Uran,TE,25.91,292,40,10000,1360,8550,I/S,363
214,MH09LH0214,ACHAKDANI,1970,Local Nallah,Sangola,TE,11.15,628,135,1350,,1350,I,407
215,MH09LH0215,SUGAON,1970,Local Nallah,Kandhar,TE,12.04,1043,,3488,,3190,I,445
216,MH09MH0216,DASANE,1970,Kanhari,satana,TE,19.4,707,113,1530,260,1270,I,499
217,MH09LH0217,JAMFAL,1970,Local Nallah,Dhule,TE,12.6,1321,113,2410,,2170,I,553
218,MH09MH0218,KAWALA,1970,Local Nallah,Chikhali,TE,17.22,570,196,2716,530,2386,I,568
219,MH09MH0219,BORALA,1970,Local Nallah,Washim,TE,17.12,385,,2200,160,1860,I,571
220,MH09MH0220,NIMKHED,1970,Local Nallah,Deulgaon Raja,TE,21.3,395,236,3070,404,2668,I,631
221,MH09MH0221,DARASWADI,1970,Pimpala Nalla,Chandwad,TE,15.52,450,144,3100,1660,2550,I,875
222,MH09MH0222,GADADGAD,1970,Gadadgad,Kannad,TE,21,1786,317,5490,1197,4640,I,885
223,MH09MH0223,MALANGAON,1970,Kan,Sakri,TE,23.78,1141,500,13023,248,11325,I,1075
224,MH09LH0224,KOSARI,1970,Local Nallah,Jath,TE,10.9,610,104.35,1450,,1390,I,1140
225,MH09MH0225,KADI,1970,Local Nallah,Ashti,TE,21.18,697,7633,7640,,6380,I,1156
226,MH09HH0226,KARWAND,1970,Arunanadi,Sirpur,TE,39.3,2966,1191,33840,,31500,I,2461
227,MH09MH0227,ITIADOH DAM,1970,Garvi,Arjuni,TE/PG,29.85,505,911,288830,46910,225120,I/H,3230
228,MH09MH0228,SIRPUR,1970,Bagh,Deori,TE/PG,24.69,2840,1195,203840,32970,192520,I,3633
229,MH09MH0229,PUJARITOLA,1970,Bagh,Amgaon,TE/PG,19.2,2661,664,65110,17650,48690,I,4246.88
230,MH09MH0230,ANJANI,1970,Local Nallah,Tasgaon,TE,15,844,,2090,,1890,I,
231,MH09LH0231,NANAND,1970,Local Nallah,Ausa,TE,11.7,1550,,2220,960,2030,I,
232,MH09MH0232,TERNA,1970,Terna,Osmanabad,TE,15,2651,186,22910,380,18630,I,
233,MH09LH0233,KHANDWA,1970,Local Nallah,Khandwa,TE,14.97,1108,,,,,I,
234,MH09MH0234,MANPADALE,1971,Local Nallah,Hatkangale,TE,20.8,612,147,1430,262,1290,I,37
235,MH09LH0235,NAVEGAON,1971,Local Nallah,Umrer,TE,10.3,742,77,1040,62,980,I,72
236,MH09MH0236,DOKSHET,1971,Local Nallah,Sudhaghad,TE,18,504,102,2630,619.4,2580,I,74
237,MH09MH0237,MUSAI,1971,Local Nallah,Shahapur,TE,17.9,403,148,3800,528,3600,I,101
238,MH09LH0238,SOMTHANA,1971,Bhokar,Bhokar,TE,13,532,,914,,840,I,114
239,MH09MH0239,MORALE,1971,Local Nallah,Tasgaon,TE,16.1,381,93,650,,540,I,141
240,MH09LH0240,GHANEGAON,1971,Local Nallah,Gangapur,TE,10.19,1040,76.4,1031,454,939,I,166
