Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
91,KA06MH0091,Chandrampalli Dam,1973,Sarnala,Chincholi,TE,28.65,926.54,454,34190,3565,31400,I,869.32
92,KA06LH0092,Hanchinal  Tank,1973,Hanchinal,Bijapur,PG.TE,11.05,655,46.28,1586.6,629.7,1245.9,I,133.09
93,KA06MH0093,Hattikuni Dam,1973,Hattikuni stream,Yadgir,TE,22.88,923,399.6,9970,1220,7930,I,376.83
94,KA06MH0094,Kachavanahalli Tank,1973,Karigale & Hebbahalla,Hunsur,TE,16.3,722,23.44,5740,1260,5100,I,423.59
95,KA06MH0095,Bachanki Tank,1974,Bachanki Nala,Hubli,TE,23.31,777.24,583,11140,2030,10380,I,325
96,KA06MH0096,Chigalli Tank,1974,Bedthi,Hubli,TE,20.74,830.8,374,8850,1652.7,8210,I,193.85
97,KA06MH0097,Honkon Tank,1974,Kali,Karwar,TE,18.6,170.8,51,810.51,230,730.83,I,10.85
98,KA06HH0098,Kabini Dam,1974,Kabini,H.D.Kote,"PG,TE",59.44,2732.4,952.08,552740,64030,453065,"I,H",5498
99,KA06MH0099,Majjur Tank,1974,Dodda Halla,Gadag,TE,19.51,413.5,684.15,6375.6,1024,5796,I,276
100,KA06MH0100,Musthrahally Tank,1974,Naihole,Kolar,TE,22.7,197,86.54,2450,450,2220,I,941.58
101,KA06LH0101,Bharatagi Tank,1975,Bharatagi,Bijapur,PG.TE,13.02,1076,50.18,2803.33,1073.4,2270.7,I,488.25
102,KA06LH0102,Haludyamanahalli Tank,1975,Kattehole,Hiriyur,TE,13.7,690,70.35,1380,474,1140,I,123
103,KA06MH0103,Kanakanala Dam,1975,Kanakanala,Raichur,TE,20.12,975.65,208.11,6370,2520,5607,I,499
104,KA06LH0104,Kohalli Tank,1975,Local Nala Krishna /,Kohalli,TE,14.63,659,96.2,2465.74,971,2144.11,I,271
105,KA06LH0105,Eakkundi Tank,1976,Ekkundi,Bijapur,PG.TE,11.17,860,59,1914.5,896.7,1717.3,I,227.18
106,KA06LH0106,Ramapura Tank,1976,Local Nala,Khanapur,TE,14,345,38.26,1203.57,283.5,1050,I,45
107,KA06HH0107,Hidkal Dam,1977,Ghataprabha,Belgaum,"PG,TE,ER",62.48,10183,16675.59,1444145.5,78036,1386946,"I,H,S",4615
108,KA06MH0108,Mangala Tank,1977,Cauvery Basin,Mysore,TE,25,661.4,5200,5850,5310,4890,I,8025
109,KA06LH0109,Hanamapur Tank,1978,Local Nala,Gokak,TE,14.33,375.75,18.82,1118.35,527.6,972.54,I,102.46
110,KA06MH0110,Madaga Tank(New),1978,Veda series,Kadur,TE,24.4,360,56,10500,1315,10544,I,58
111,KA06MH0111,Rangasamudra Tank,1978,Rangasamudra,Bagalkot,PG.TE,23.8,317,131.3,4693.1,728.2,3702,I,523.86
112,KA06LH0112,Balakundi Tank,1979,Balakundi,Bagalkot,PG.TE,14.15,1640,120.35,7455.1,2509,4775,I,514.82
113,KA06HH0113,Bommanahalli Pickup,1979,Kali,Dandeli,"PG,TE",30.45,1024.8,514,97254,15530,84851,H,8822
114,KA06MH0114,Chikkagondanahally Tank,1979,Arkavathy,Kanakapura,TE,22.3,516,40.21,5900,350.22,2463,I,153
115,KA06LH0115,Gundwan tank at Site-1,1979,Gundwan - I,Bijapur,PG.TE,13.05,973,90.06,2179.2,1000,1765.2,I,283.73
116,KA06MH0116,Haihole,1979,Haihole,Shimoga,TE,21,688,3760,5110,984.18,3720,I,126.88
117,KA06HH0117,Hemavathy Dam,1979,Hemavathy,Hassan,"PG,TE",58.5,4692,5782.5,1050630,91619,926830,"I,S",3624.52
118,KA06MH0118,Hulikunta Tank,1979,Krishna / T.Bhadra,Sandur,TE,28.65,550,14712,2715,513.5,2576,I,116
119,KA06MH0119,Itagi Tank,1979,Local Nala Krishna /,Khanapur,TE,15.25,757,93.68,991.51,204,862.12,I,11
120,KA06LH0120,Katral Tank,1979,Katral,Bijapur,PG.TE,11.22,1240,79.25,2381,1215,2262,I,326.77
