"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
661,MP08MH0661,MORJHIRI,1988,Local,Jhabua,TE,18.95,236,-,2170,513,1933,I,125.35
662,MP08MH0662,VANGARA,1988,Local,Barwani,TE,20.78,270,-,4532,545.3,3536,I,204.36
663,MP08LH0663,SULTANPUR,1988,Local,Barwaha,TE,14.06,632,-,2312,634,2071,I,120.4
664,MP08MH0664,CHATENI,1988,,,TE,16.15,283,-,2700,674,2451,I,99.84
665,MP08MH0665,TAKLI,1988,Local,Barwani,TE,21.05,360,-,3149,821,2879,I,414.81
666,MP08LH0666,ZOT KHEDI,1988,Local,Mandsaur,TE,12.95,715,-,2658,871,2327,I,135
667,MP08MH0667,ANANDIKHEDI,1988,Local,Dhar,TE,15.89,1150,-,3656,1016,3214,I,215
668,MP08MH0668,LADUNA,1988,Local,Mandsaur,TE,15.85,1410,-,2963,1164,1812,I,29
669,MP08MH0669,BANGANGA,1988,Local,Barwaha,TE,23.8,539,-,7580,1200,5268,I,366
670,MP08LH0670,KANKERKHEDA,1988,Utawali,Sehore,TE,12.8,2040,-,4259,1602,4015,I,144
671,MP08HH0671,CHORAL,1988,Local,Mhow,TE,30.7,620,-,23920,2742,19231,I,469
672,MP08HH0672,KALIASOTE,1988,Kaliasot,Bhopal,TE,67.08,1080,-,35887,5295,34410,I,1355
673,MP08HH0673,DEJALA DEWDA,1988,Local,Barwaha,TE,35.2,1845,-,56350,6254,52029,I/F,2492
674,MP40HH0674,BIRSINGHPUR (MPSEB),1988,Johilla,Shahdol,PG/TE,42,47.5,-,171000,18500,9000,Hydel+,10672.7
675,MP08HH0675,KOLAR,1988,Kolar,Sehore,PG,45,1020,2790,270000,23800,265000,I/WS,8605
676,MP39HH0676,"RANI AWANTI BAI
(NVDA)",1988,Nrmada,Jabalpur,PG,69.8,5357,8771,392000,267970,318000,I/Hydl,43617
677,MP08LH0677,KEERATWARI,1988,,,TE,11.58,2550,,960,,,,39.1
678,MP08MH0678,MEHGAWAN,1988,Local,Jabalpur,TE,23.92,575,,1782,,,I,61.22
679,MP08MH0679,JAM TALAI TANK,1989,Local,Manawar,TE,16.33,550,-,218,86,198,I,29
680,MP08LH0680,TUMADIBHAT,1989,Local,,TE,10.97,810,,674,202,634,I,48.48
681,MP08LH0681,BEGANDI,1989,Local,Barwaha,TE,11.21,670,-,745,225,678,I,60.32
682,MP08MH0682,PIPRIYATOLA,1989,Local,Seoni,TE,20.05,855,91.2,846,235.6,766,I,44.5
683,MP08LH0683,TANDA,1989,Local,Shajapur,TE,14.59,720,80,976.2,350.5,894.2,I,48.55
684,MP08MH0684,RELLA,1989,Local,Jhabua,TE,16.66,585,-,2920,606,2515,I,152
685,MP08LH0685,BAORIKHEDA,1989,Local,Shajapur,TE,14.39,1545,91,1900,817,1740,I,55
686,MP08LH0686,RAMPURA,1989,Local,Panna,TE,12.02,656,-,1627,1498,1498,I,-
687,MP08MH0687,LAXMIKHEDA,1989,Local,Shajapur,TE,22.29,1230,19.9,4080,1540,3560,I,198
688,MP08HH0688,MOHINI PICK-UP WEIR,1989,Sindh,Narwar,PG/TE,35.63,2568.7,-,108810,16243,107110,I,265400
689,MP08MH0689,KARONDI,1989,Local,Mandla,TE,17.1,150,-,250,-,-,I,17.25
690,MP08MH0690,BACHHLON,1989,,,TE,15.32,1289,,,,,,
