"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
31,CG03MH0031,KHADGAWAN TANK,1971,Local Nalla,Khadgawan,TE,15,130,78,400,87,280,I,17
32,CG03LH0032,CHURIYAPAT TANK,1972,Local Nalla,Bhaiyathan,TE,10.8,690,117,170,211,125,I,64
33,CG03LH0033,GAGNAI TANK,1972,Local,Pendra,TE,14.65,330,210,2810,353,2543,I,50
34,CG03LH0034,JAMDIH TANK,1972,Local Nalla,Bhaiyathan,TE,10.06,615,92,530,236,365,I,101
35,CG03MH0035,PARALKOT,1973,Kotri,Narayanpur,TE,25.21,1231,289,66300,11370,63550,I,974
36,CG03LH0036,KALIDARAHA TANK,1974,Local,Mahasaamund,TE,14.3,701,,2210,749,1830,I,24.25
37,CG03LH0037,KHARJIR (KHAJURI),1974,Local Nalla,Ramchandrapur,TE,12.29,98,21,15130,783,14000,I,315
38,CG03LH0038,AMAKONI TANK,1975,Local,Mahasamund,TE,10.9,1200,,1780,551.8,1582,I,89
39,CG03MH0039,BASANTPUR TANK,1975,Local Nalla,Wadrafnagar,TE,15.58,90,23,313,74,281,I,23
40,CG03MH0040,JHALPI TANK,1975,Local Nalla,Kusmi,TE,21.95,1000,127,785,106,754,I,68
41,CG03MH0041,P.V. PAKHANJORE,1975,Local,Narayanpur,TE,17.59,518,195,2592,1070,2469,I,153
42,CG03LH0042,SAGASOTI TANK,1975,Local Nalla,Ramchandrapur,TE,12.67,900,56,781,203,695,I,44
43,CG03LH0043,TRIKUNDA TANK,1975,Local Nalla,Ramchandrapur,TE,11.52,510,30,283,84,266,I,14
44,CG03LH0044,TULUTOLLA TANK,1975,Local,Dondi,TE,13.87,1187,,2030,437,1833,I,68
45,CG03MH0045,BILASPUR TANK,1976,Local,Kharsia,TE,15.24,122,40,3071,704,2850,I,115
46,CG03MH0046,GOBARI TANK,1976,Local Nalla,Baikunthpur,TE,16.15,430,155,1750,1025,1420,I,151
47,CG03MH0047,JAGANNATHPUR T.,1976,Local Nalla,Ambikapur,TE,16.05,840,311,4116,690,3881,I,77
48,CG03MH0048,KUNWARPUR TANK,1976,Local Nalla,Lakhanpur,TE,24.38,297,141,16760,2926,15680,I,149
49,CG03MH0049,PIRHA TANK,1976,Local Nalla,Surajpur,TE,16.98,640,202,722,176,621,I,24
50,CG03LH0050,SINGHORA TANK,1976,Local,Mahasaamund,TE,12.13,600,,2576,440,2291,I,75.31
51,CG03MH0051,TORENGA TANK,1976,Local Nalla,Raipur,TE,15.09,1189,230,20370,1975,20100,I,121
52,CG03MH0052,TOULIDIH TANK,1976,Local Nalla,Bilaigarh,TE,16.7,306.99,,2907,595.1,2715,I,152.35
53,CG03MH0053,AGARIYA TANK,1977,Local,Kota,TE,16.89,1080,204,1560,455,1252,I,48
54,CG03MH0054,MAYANA,1977,Local,Kanker,TE,22.23,1463,308,5982,1563,5660,I,106
55,CG03LH0055,NIRACHINDLI,1977,Local,Kanker,TE,10.41,853,,700,712,633,I,64.14
56,CG03MH0056,SAWATPUR TANK,1977,Local,Kota,TE,16.89,1080,110,1560,453,1376,I,132
57,CG03HH0057,SIKASAR,1977,Pairi river,Raipur,TE/PG,31.7,1540,157250,216500,252400,198880,I,4059
58,CG03MH0058,SUKHA TANK,1977,Local Nalla,Bhatagaon,TE,15.39,167.65,,840,162.6,790,I,207.22
59,CG03LH0059,DHAB,1978,Local Nalla,Ramchandrapur,TE,12.8,504,117,155,154,121,I,116
60,CG03LH0060,PASLA TANK,1978,Local Nalla,Surajpur,TE,10.5,750,121,2058,172,1680,I,25
