"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
451,GJ04MH0451,VAGADI,1985,Local Vangha,Himmatnagar,TE,17.5,470,68,1000,,890,I,174
452,GJ04LH0452,AMBANI KHODIAR,1986,Khodiyar Nahera,S.Kundala,TE,11.8,1326,130,1065.42,270,918.4,I,240.78
453,GJ04LH0453,BHAGWANJINA MUVADA,1986,Vahela,Virpur,TE,13.35,579,,7314,265,6510,I,4035
454,GJ04LH0454,BHANMER,1986,Bhanmervangha,Bhiloda,TE,10,510,25,416,,387,I,72
455,GJ04LH0455,DOMDA M.I,1986,T/Und,Padadhari,TE,14,1400,202,1070,500,870,I,330.54
456,GJ04MH0456,HADAF,1986,Hadaf,Morva (H),PG,29.5,120,90,32260,892,25020,"I,F",6852
457,GJ04MH0457,JESAR,1986,Ranigadla,Savarkundla,TE,22,249,69,510,,460,I,114
458,GJ04MH0458,KALUBHAR,1986,Kalubhar,Gadhada,TE,25.03,4970,3904.48,26110,9622,24590,I & S,7982.7
459,GJ04MH0459,MORALNAKA,1986,Kotar,S'pur,TE,27.5,1237,2240.9,4098,88,3098,I,413.3
460,GJ04MH0460,MOTA-ZINZUDA,1986,Local Stream,Savarkundla,TE,17,89,,339,,335,I,102
461,GJ04MH0461,NYARI II,1986,Nyari,Padadhari,TE/PG,23.7,4014,885,13000,3950,11700,I & S,4714
462,GJ04MH0462,PIYONI,1986,Ratanpar,Naliya,TE,16,230,178,680,,680,I,267
463,GJ04HH0463,SUKHI,1986,Sukhi,Bodeli,TE/PG,38,4271,,178470,31740,167140,I,7879
464,GJ04MH0464,TODA,1986,Local Nala,Sihor,TE,17,940,,875,,808,I,144
465,GJ04LH0465,VANKOL,1986,Kotar,Limdi,TE,12,585,149.87,423,110,285,I,69
466,GJ04MH0466,AJI II,1987,Aji,Rajkot,TE/PG,23.57,1291,278,22080,5080,20750,I,6011
467,GJ04LH0467,ARRNI,1987,T/Bhadr,Upleta,TE,11.2,1120,109,1060,515.8,940,I,200.36
468,GJ04MH0468,DEO,1987,Deo,Halol,TE/PG,26.15,2385,1952,84090,18680,76330,I,5438
469,GJ04MH0469,KALAGHOGHA,1987,Phot,Mundra,TE,24,1376,330,4980,2040,4260,I,1342
470,GJ04VH0470,KARJAN,1987,Karjan,Rajpipla,PG,100,903,1436.12,630000,36770,581000,I,19625
471,GJ04MH0471,LAKHIA,1987,Wangha,Khedbrahma,TE,17.5,173,18,371,,270,I,2582
472,GJ04MH0472,MEGAL TR,1987,Vrajmi,Maliya,TE/PG,19,3411,550,10350,2488,10350,I,1175
473,GJ04MH0473,PIPARDI,1987,Local Stream,Sihor,TE,17,1167,147,2120,,1890,I,348
474,GJ04LH0474,RAMPARI,1987,Ramp[Ari,Babra,TE,12,251,,11415,,9895,I,351
475,GJ04MH0475,RANINGPAR,1987,T/Machhu,Jasdan,TE,17.8,1780,110,2930,1200,2240,I,824.66
476,GJ04MH0476,SARKI,1987,Localwangha,Meghraj,TE,16,670,59,1404,4875,1090,I,142
477,GJ04LH0477,VRAJMI,1987,Vrajmi,Malia-Hatina,PG,14.88,102,,10352,2490,10050,Sal,1175
478,GJ04LH0478,DANGRA,1988,Ghel,Dhrol,TE,13.7,120,1710,1710,,1270,I,534.62
479,GJ04LH0479,DHAVADA,1988,Local River,Nakhatrana,TE,14.7,1347.56,850,390,,390,I,148
480,GJ04MH0480,GOYASUNDAL,1988,Kotar,Ghoghmba,TE,26,756,1228.5,2216,4821,1326,I,231.9
