"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
241,CG03MH0241,SEMRAHA TANK,2007,Local,Pendra,TE,19.75,595,321,285,1610,264,I,103
242,CG03MH0242,PACHNI TANK,2008,Pachni,Bharatpur,TE,21.6,165,183,256,54,976,I,110
243,CG03MH0243,KOPAR NALLA TANK,NA,Kopar nala,Dharamjaygarh,TE,17.2,600,245,3093,664,2697,I,174
244,CG03MH0244,KATEKALYAN,U/C,Parchelli,Dantewada,TE,16.24,870,158,1223,331,1120,I,51
245,CG03MH0245,BARNAI RESERVIOR,U/C,Barnai,Ambikapur,TE,24.7,2010,11150,12000,1226,1150,I,379
246,CG03MH0246,GHUMARAPADAR T.,U/C,Local Nalla,Raipur,TE,20.8,900,375.36,5562,1197,4974,I,219
247,CG03MH0247,KOSARTEDA,U/C,Kosarteda,Jagdalpur,TE,25.6,1305,808,7276,15870,63700,I,1100
248,CG03MH0248,MAHARAJPUR TANK,U/C,Local Nalla,Manendragarh,TE,16.5,518,195,308,191,258,I,30
249,CG03MH0249,PIPERCHEDI TANK,U/C,Local Nalla,Raipur,TE,15.18,2103,422.27,7154,1401,8208,I,158
250,CG03MH0250,PV-133,U/C,Local,Kanker,TE,16.12,480,,2143,737,2008,I,45
251,CG03MH0251,SONKACHHAR TANK,U/C,Local,Pendra,TE,17.76,510,160,487,702,434,I,187
252,CG03LH0252,PALACHUR,UC,Local,Kanker,TE,14.63,933,151,2160,498,2017,I,38
253,CG03LH0253,AONDHIT.,UC,Local,Dongargaon,TE,12,2580,,5803,1923,5267,I,
254,CG03LH0254,DHUPKOT TANK,UC,Local Nalla,Raipur,TE,11.59,1320,159.13,1995,697,1801,I,92
255,CG03LH0255,GANIYARI TANK,UC,Local Nalla,Raipur,TE,13.3,1871,307,6358,651,5773,I,1857
256,CG03LH0256,KANESAR TANK,UC,Local Nalla,Raipur,TE,10.03,1097,140.02,2250,405,2120,I,69
257,CG03LH0257,PELAM TANK,UC,Pelam nala,Dharamjaygarh,TE,11.5,820,157,1042,359,944,I,54
258,CG03LH0258,PHARASPAL,UC,Local,Dantewada,TE,14.7,525,105,948,219,840,I,59
259,CG03LH0259,SALAP TANK,UC,Local Nalla,Raipur,TE,12.2,870,127,1350,358,1261,I,48
