Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
661,MH09MH0661,SHIRUR,1977,Local Nallah,Mukhed,TE,16.14,541,138,1780,,1613,I,
662,MH09LH0662,SOMDURG,1977,Local Nallah,Ausa,TE,14,1120,127,2089,112,1889,I,
663,MH09MH0663,NANDGAVHAN,1977,,Digras,TE,18.64,545,,,,,I,
664,MH09LH0664,VARKUTE,1978,Local Nallah,Indapur,TE,12.2,1093,11,1430,,1270,I,44
665,MH09HH0665,TELEWADI (DIGAS),1978,Local Nallah,Kudal,TE,30.32,540,206,2520,1840,2504,I,46.75
666,MH09MH0666,VAPHOLI,1978,Vapholi,Sawantwadi,TE,18.9,450,96.98,2394,348,2333,I,68.2
667,MH09MH0667,NILELI,1978,Local Nallah,Kudal,TE,22.38,260,143,1843,1000,1747,I,82.8
668,MH09MH0668,SHIPOSHI,1978,Local Nallah,Lanja,TE,24.08,432,248,2550,318,2347,I/S,91.1
669,MH09MH0669,VELHOLI,1978,Local Nallah,Shahapur,TE,24.53,319,217,3250,700,3000,I,103
670,MH09LH0670,GHATANA,1978,Local Nallah,Yavatmal,TE,11.16,531,,1290,,1210,I,108
671,MH09MH0671,JAMBHIVALI,1978,Local Nallah,Ulhasnagar,TE,23.4,460,280,2260,295.2,2200,I,112
672,MH09MH0672,RAMPUR,1978,Local Nallah,Wani,TE,16.05,300,467,1370,321,1130,I,119
673,MH09LH0673,WADGAON,1978,Local Nallah,Ashti,TE,13.5,890,,1512,525,1359,I,128
674,MH09LH0674,LOHATWADI,1978,Local Nallah,Ner,TE,12.3,447,,1900,673,1010,I,132
675,MH09LH0675,WADOD,1978,Local Nallah,Kannad,TE,11.15,1020,,964,,880,I,149
676,MH09LH0676,NER,1978,Local Nallah,Ner,TE,11.89,625,,1350,,3067,I,149
677,MH09LH0677,HANEGAON-II,1978,Local Nallah,Degloor,TE,10.9,726,28,1030,,934,I,159
678,MH09MH0678,NICHAPUR,1978,Local Nallah,Kinwat,TE,16.56,588,306,2320,,2200,I,168
679,MH09MH0679,REVNAL,1978,Local Nallah,Jath,TE,18.6,247,93,2370,,2190,I,174
680,MH09LH0680,DAHAD,1978,Local Nallah,Buldhana,TE,12.78,716,113.6,1360,446.1,1260,I,175
681,MH09LH0681,KHANDALA,1978,Local Nallah,Bhusawal,TE,12.1,290,28.22,1227,269.23,1124,I,185
682,MH09MH0682,BHOKARBARI,1978,Local Nallah,Parola,PG,22.45,123.2,21,7090,192,6540,I,187
683,MH09MH0683,MAHIRAWANI,1978,Nasardi,Nasik,TE,25.53,443,252.4,2633,396,2520,I,196
684,MH09LH0684,YEKLARA,1978,Local Nallah,Ralegaon,TE,12.25,933,,1770,985,1670,I,198
685,MH09LH0685,HORTI,1978,Local Nallah,Tuljapur,TE,14.7,607,,1345,448,1236,I,202
686,MH09MH0686,TRINGALWADI,1978,Local Nallah,Igatpuri,TE,15.77,498,170.74,3135,650,2860,I,207
687,MH09LH0687,GUTTEWADI,1978,Local Nallah,Ambejogai,TE,14.35,187,,1872,586,1698,I,208
688,MH09MH0688,NAGALWADI,1978,Local Nallah,Parseoni.,TE,16.37,157,140,2679,9522,2240,I,208.84
689,MH09LH0689,JANEGAON,1978,Local Nallah,Kaij,TE,14.74,653,,1684,407,1559,I,210
690,MH09LH0690,HANEGAON,1978,Local Nallah,Degloor,TE,14.36,781,,1290,,1160,I,217
