"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
181,GJ04MH0181,BHAGUDA,1968,T/Bagad,Mahuva,TE,16,430,,3000,,2450,I,425
182,GJ04MH0182,CHIRODA,1968,Local Stream,Bhavnagar,TE,16,526,175,570,,500,I,94
183,GJ04MH0183,GUNELI,1968,Desma Kotar,Shehra,TE,15,1968,,2430,,1916,I,486
184,GJ04MH0184,KARUDA-DABHUNDA,1968,Kershali,Rapar,TE,23.94,384,700,2360,,2360,I,589
185,GJ04MH0185,KHARI,1968,Mehriyo,Mahuva,TE,16,1540,175,1500,58.36,1340,I,201
186,GJ04MH0186,NANIBER,1968,Naliya,Kachchh,TE,15.04,2576,418,189,145,189,I,421
187,GJ04MH0187,ODARKA,1968,Local Stream,Ghogha,TE,16.5,768.7,,2220,397.36,2220,I,280
188,GJ04MH0188,PANIHARI,1968,Tof Sarasvati,BK,TE,15.16,330,,1134,,1010,I,244.4
189,GJ04MH0189,VARTU,1968,Vertu,Bhanvad,TE,28.5,1981,557,13300,,11620,I,1557
190,GJ04MH0190,BORSI,1969,Wangha,Meghraj,TE,17,565,106,2169,,1810,I,178
191,GJ04MH0191,DHUNAI,1969,Local Stream,Mandavi,TE,25.29,375.3,218.8,1510,165,1280,I,241.2
192,GJ04MH0192,JADAY,1969,Local River,Nakhatrana,TE,28.82,175,190,1000,,1000,I,491
193,GJ04MH0193,JALAI DHULETA,1969,Kotar,Khanpur,TE,23,298,382.11,1689,4800,1273,I,129
194,GJ04MH0194,KAURUNDA,1969,Karaswari,Rapar,TE,21,549,300,2361,,1921,I,442
195,GJ04MH0195,KHARADIA,1969,Local Stream,Kachchh,TE,15.95,840,269,1680,307,634,I,633
196,GJ04LH0196,LORIYA,1969,Local Stream,Bhuj,TE,13.9,813,145.16,568,185,459,I,188.84
197,GJ04MH0197,SAPUTARA,1969,Sarapganga,Saputara,TE,27,488,,637,145,637,S,613
198,GJ04MH0198,SUVI,1969,Suvi,Rapar,TE,20.42,2097,467,10453,3700,8420,I,990.5
199,GJ04MH0199,VANZARA,1969,Tof Sarasvati,BK,TE,15.09,192,,715,,610,I,122.06
200,GJ04LH0200,BHARAPAR,1970,Naliya,Kachchh,TE,13.44,738,178,103,,103,I,302
201,GJ04MH0201,DHANDHA,1970,Dhandha,Kalyanpur,TE,17,1163,,3638,,3638,I,955
202,GJ04MH0202,GULABSAGAR,1970,Kotar,Santrampur,TE,29,637,186,1381,,1061,I,160
203,GJ04MH0203,JETHOLI,1970,Vahela,Balasinor,TE,17.07,1951,,47835,2950,42005,I,12800
204,GJ04LH0204,MATEVAL,1970,Vehla,Thasara,TE,11,1716,,1536,,1408,I,330
205,GJ04HH0205,NIRONA,1970,Bharud,Nakhatrana,TE,37.79,1689.39,657,27170,4410,22980,I,2997.5
206,GJ04HH0206,RUDARMATA,1970,Kharipur,Bhuj,TE,37.04,1217.19,876,61530,10960,55020,I,4055.39
207,GJ04MH0207,VACHAPPARI,1970,Vachappari,Kotda Sangdi,TE/PG,29.5,1814,392,6116,1907,5578,I,535
208,GJ04LH0208,VIRANI,1970,Mandvi,Kachchh,TE,14.87,932,212,660,204,600,I,250
209,GJ04LH0209,DARSADI,1971,Local Stream,Mandavi,TE,13.9,629.75,108.95,705,193,560,I,169.21
210,GJ04LH0210,GODADIA,1971,Mandvi,Kachchh,TE,11.72,879,125,1250,386,1120,I,250
