Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1351,MH09MH1351,MANDWA,1995,Local Nallah,Risod,TE,15.16,448,,1484,,1370,I,120
1352,MH09MH1352,KOLAMBI,1995,Local Nallah,M'Pir,TE,19.6,309,166,1589,250,1500,I,148
1353,MH09LH1353,BORGAON,1995,Local Nallah,Malegaon,TE,13.98,1095,,1243,42,1174,I,150
1354,MH09MH1354,GAOSUD,1995,Local Nallah,Osmanabad,TE,16.75,773,,1700,429.8,1505,I,198.78
1355,MH09LH1355,MALEGAON,1995,Local Nallah,Malegaon,TE,11.5,1070,177,2043,66,1850,I,212
1356,MH09LH1356,PACHAMBA,1995,Local Nallah,Risod,TE,10.1,1080,,2242,,2073,I,230
1357,MH09MH1357,GARTEK,1995,Local Nallah,Manora,TE,18.08,354,,1993,49,1874,I,235
1358,MH09LH1358,ROTHA- I,1995,Local Nallah,Wardha,TE,12.72,1008,117.04,2063,752,1975,I,250.7
1359,MH09LH1359,ROTHA -II,1995,Local Nallah,Wardha,TE,12.3,772,122.6,1076,381.92,1011,I,250.71
1360,MH09HH1360,KONDIVALI,1995,Local Nallah,Khed,TE,31.14,511,776,4685,222,4482,I,254
1361,MH09MH1361,TANGAR,1995,Local Nallah,Dapoli,TE,23.01,215,490,3425,310,3164,I,256
1362,MH09MH1362,PATUR,1995,Bordi,Patur,TE,21.22,311,213,2077,313,1910,I,262
1363,MH09MH1363,CHARKALI,1995,Local Nallah,Kalmba,TE,17.37,472,,3434,440,3157,I,291
1364,MH09MH1364,GUNWATI,1995,Gunora nalla,Dharur,TE,16.49,1467,340.61,6120,166.23,4520,I,324.97
1365,MH09LH1365,BILUR (KESARAL),1995,Local Nallah,Jath,TE,14.31,420,121,1440,43,1470,I,390
1366,MH09MH1366,JANGAMHATTI,1995,Honhal,Chandgad,TE,28.9,900,1253,27.29,111,26.29,I/H,467
1367,MH09MH1367,SHIVANKHURD,1995,Local Nallah,Murtizapur,TE,15.17,2100,,4188,,,I,474
1368,MH09MH1368,KHOKSA,1995,Nawapur,Nawapur,TE,24.42,495,146,1523,276.8,1460,I,476
1369,MH09MH1369,KALMESHWAR,1995,Morna,Malegaon,TE,17.82,1440,,5220,125,4720,I,512
1370,MH09MH1370,BHOGALWADI,1995,Local Nallah,Kaij,TE,16.98,660,190,1940,416,1600,I,546
1371,MH09MH1371,TAKALI,1995,Local Nallah,Yavatmal,TE,21.6,773,35,5390,256,4780,I,554
1372,MH09MH1372,BILLUR (ARWALI),1995,Local Nallah,Jath,TE,16.25,621,189,2.07,65,1.75,I,634
1373,MH09MH1373,KASARSAI,1995,KasarsaiNalla,Maval,TE,29.36,1170,709,13.75,1987,12.62,I,688
1374,MH09MH1374,MANDWA,1995,Local Nallah,Shindkhed Raja,TE,18.52,663,410,4101,1000,3250,I,725
1375,MH09MH1375,MALKAPUR,1995,Local Nallah,Kallam,TE,22.8,,,2370,,2220,I,784.52
1376,MH09HH1376,WALDEVI,1995,Waldevi,Nasik,TE,36.4,1890,1304,33720,3437,32050,I,809
1377,MH09MH1377,NARAYANGAD,1995,Narayangad,Beed,TE,15.98,1240,248,5280,1252,4280,I,1040
1378,MH09MH1378,BRAMHANWADA,1995,Local Nallah,Malegaon,TE,15.7,275,,,,,I,1185
1379,MH09MH1379,TISGAON,1995,Parashri,Dindori,TE,24.9,1674,1080,15140,292,12440,I,1744
1380,MH09MH1380,MUKANE,1995,Aaundha,Nawapur,TE,26.93,1530,2271,214160,3018,203970,I,1938
