"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
451,MP08LH0451,AMKOI,1982,Local,Satna,TE,14.3,1680,-,6290,147,5615,I,65.4
452,MP08MH0452,DONGARKHEDA,1982,Local,Dewas,TE,19.56,540,-,710,175,636,I,52.63
453,MP08LH0453,CHIRKHAN,1982,Local,Dhar,TE,12.9,640,-,586,182,481,I,58
454,MP08LH0454,KUARI,1982,Local,Satna,TE,10,1110,-,1198,198,1102,I,42.6
455,MP08MH0455,BENI BARI,1982,Paladigwar,Anuppur,TE,18.04,435,1250.35,920,200,730,I,88.7
456,MP08MH0456,SEMARWAR,1982,Paniha,Anuppur,TE,21.1,150,927,779,205.8,708,I,39.64
457,MP08MH0457,VAGADALWADI,1982,Local,Barwani,TE,15.84,182,-,940,213,847,I,80.63
458,MP08MH0458,JHONSLI,1982,Local,Jhabua,TE,15.24,260,-,1310,238,1192,I,81.16
459,MP08MH0459,SAWSARA,1982,Local,Rajgarh,TE,15.32,555,-,1226,276.84,1179,I,33
460,MP08LH0460,MALAVAR,1982,Local,Rajgarh,TE,11.58,762,-,1081,290,1006,I,43
461,MP08MH0461,GONDUGULLA,1982,Local,Betul,TE,15,629,,1254,324,1137,I,61.55
462,MP08LH0462,DEORI,1982,Local,Rajgarh,TE,14.97,556,-,1109,355,986,I,58.57
463,MP08LH0463,MADARNIYA,1982,Local,M'leshwar,TE,13.8,784,-,1621,391,1459,I,99.85
464,MP08LH0464,GUJRAMAL,1982,Local,Athner,TE,10.44,701,,1122,398,1043,I,57.75
465,MP08LH0465,PAHAWADI,1982,Local,Shahpur,TE,13.95,1234,,1297,460,1222,I/F,49.07
466,MP08MH0466,AMLIPADA-I,1982,Local,Dhar,TE,16.33,610,-,1999,468,1796,I,92
467,MP08MH0467,CHARKHARI,1982,Shadol,,TE,20.34,465,-,1400,480,1279,I,64.17
468,MP08MH0468,BORI,1982,Local,Dewas,TE,25.9,305,-,1142,507,978,I,81
469,MP08MH0469,GOVERDHANPURA,1982,Local,Barwaha,TE,17.63,283,-,2486,510,2045,I,127
470,MP08MH0470,SURKHI,1982,Local,Sagar,TE,20.33,1170,-,3830,627,3470,I/W,140.55
471,MP08MH0471,KUDRI,1982,Local,Shahdol,TE,19.5,855,-,1700,675,1310,I,62.47
472,MP08MH0472,BORGAON,1982,Local,Bhainsdehi,TE,16.3,420,,3109,720,2783,I,128
473,MP08MH0473,BARKHEDA,1982,Local,Dhar,TE,18.9,620,-,732.97,764.38,663.63,I,125
474,MP08MH0474,GULABPURA,1982,Local,Jhabua,TE,18.35,790,-,4835,883,3768,I,257
475,MP08MH0475,DHABLA DEWAN,1982,Local,Mandsaur,TE,16.23,1249.68,-,2660,891,2300,I,146.36
476,MP08MH0476,MACHHARIYA,1982,Local,Deori,TE,18.68,334,-,3270,939,2984,I,34.63
477,MP08LH0477,LASUDIAKANGAR,1982,Local,Sehore,TE,13.41,1341.46,-,3120,1040,2874,I,57.26
478,MP08MH0478,PARAS,1982,Local,Dewas,TE,26.94,660,-,75.38,1152,6668,I,213
479,MP08MH0479,DEVIKHEDA,1982,Local,Mahidpur,TE,21.33,701,-,6450,1874,5550,I,130
480,MP08MH0480,DALKA BANDA,1982,Local,Niwas,T E,17.25,268,_,1320,2600,1235,I,46.3
