"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
241,GJ04LH0241,CHHAPARWADI- I,1974,Chhaparwadi,Gondal,TE/PG,14.92,3014,614,7363,1870,7080,I,1650
242,GJ04MH0242,CHHAPARWADI-LUNIVAV,1974,Chharwadi,Gondal,TE/PG,17,1984,209,5000,,4160,I,1652
243,GJ04MH0243,DHATARWADI,1974,Dhatarwadi,Rajula,TE,25.05,5258,8213.61,32710,4400,26500,I & S,4342
244,GJ04MH0244,DODFAVANTA,1974,Kotar,Khanpur,TE,26.9,175,303.75,731,1570,617,I,151.5
245,GJ04LH0245,JAM DADAR,1974,T/Bhadr,Jam Kan.,TE,14.02,14.02,444,2170,1500,1830,I,412.04
246,GJ04MH0246,KALINDRI,1974,Kalindri,Kutiyana,TE,18.9,843.9,424.63,29940,6668,29940,I,595
247,GJ04LH0247,KHARI,1974,Khari,Halvad,TE,13.5,2010,,4550,,3631,I,937
248,GJ04MH0248,KUNTALA,1974,Malan,Khamba,TE,22,648,,2605,,2080,I,654
249,GJ04MH0249,MESARIYA -1,1974,T/Machhu,Wankaner,TE,21,210,222,4520,,3810,I,713.16
250,GJ04HH0250,MODHUWANTI TR,1974,Madhuwanti,Mendarda,TE/PG,30.48,1219,412,11650,2250,11300,I,
251,GJ04MH0251,MOTIKHARSOLI,1974,Kotar,S'pur,TE,19.5,816,761.78,3289,80,2490,I,370
252,GJ04MH0252,NANAMATRA,1974,Triveni,Sayla,TE,17,616,,2236,,1960,I,430
253,GJ04MH0253,PATADUNGRI,1974,Khan,Dahod,PG,25.3,199,,41000,10000,39620,I & S,878
254,GJ04MH0254,RATANPAR,1974,Local River,Bhachau,TE,24.69,1036.58,630,490,,490,I,101
255,GJ04MH0255,RATHVANA MUVADA,1974,Kotar,D.Baria,TE,15,457,181.14,392,183,313,I,54
256,GJ04MH0256,SENJAL,1974,Savarkundla,Kundla,TE,17,341,78,980,,850,I,219
257,GJ04MH0257,VANSIALI,1974,Local Stream,Savarkundla,TE,18,267,,570,,500,I,91
258,GJ04MH0258,AMBARADI,1975,T/Bhadr,Gondal,TE,18.1,520,171,2160,880,1870,I,489.02
259,GJ04MH0259,ANANDAPAR,1975,T/Aji,Tankara,TE,16.8,620,218,3460,1870,2890,I,635.05
260,GJ04LH0260,ANDHARIPARPATA,1975,River,Limkheda,TE,12,775,201.81,496,205,402,I,79
261,GJ04LH0261,BALUNDRA,1975,T Of Banas,BK,TE,13.1,417.5,,2020,61.78,1840,I,407.81
262,GJ04LH0262,BAMATHIYA-2,1975,Local Voklo,Jamjodhpur,TE,13.9,77,,1180,,1110,I,147.92
263,GJ04LH0263,DADAR,1975,Tedi,Jamkandorna,TE,14.5,3111,,2533,,2192,I,412
264,GJ04LH0264,DALVADA,1975,Kotar,Shahera,TE,14.2,1610,821.89,1130,4268,1040,I,171.76
265,GJ04LH0265,DEVEDHARI,1975,T/Keri,Jasdan,TE,13.7,137,26,1520,670,1360,I,43.72
266,GJ04LH0266,GHASIA,1975,Kotar,Jhalod,TE,14,1320,362.2,923,290,843,I,108
267,GJ04LH0267,JATAVADA-II,1975,Local River,Rapar,TE,13.89,784.33,67.12,481,132.67,421,I,124.37
268,GJ04MH0268,JHANJHESARI,1975,Jhanjhesari,Visavdar,TE,27,2699,443,10640,,10140,I,935
269,GJ04MH0269,KHADKHAMBHALI,1975,Khadkhambhalli,Lalpur,TE,24,370,,2783,,2783,I,275
270,GJ04LH0270,KHILAWAD M.I.,1975,Jambudi,Una,TE,13.75,998,94.65,2810.4,860.13,2634.9,I,361.5
