"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
601,MP08MH0601,SIRONJ TANK,1986,Local,Manawar,TE,23.3,713,-,1276,109.5,1012,I,495.6
602,MP08LH0602,HINOUTA,1986,Local,Satna,TE,10.55,800,-,488,132,452,I,22
603,MP08MH0603,OSADA,1986,Local,Barwani,TE,16.77,176,-,611,150,549,I,78
604,MP08MH0604,SINDHI KHODRA,1986,Local,Barwani,TE,19.13,265,-,920,151,828,I,121.5
605,MP08LH0605,JAMLI,1986,Local,Alirajpur,TE,11.8,555,-,503,158,440,I,50
606,MP08LH0606,BASAURA,1986,Local,Sidhi,TE,12.8,516,790,866,226,818,I,48.3
607,MP08MH0607,MOHI,1986,Local,Pandurna,TE,29.34,345,135.59,1518,233.4,1270,I,59.5
608,MP08LH0608,DEORA MALHANI,1986,Local,Satna,TE,12,890,-,1074,260,1045,I,41
609,MP08HH0609,KODIA,1986,Local,Niwas,T E,31.38,225,_,1250,270,1165,I,44.8
610,MP08LH0610,ZADI,1986,Local,Barwaha,TE,11.85,210,-,1160,285,1040,I,67
611,MP08LH0611,KANARI,1986,Local,Shahdol,TE,14.41,1005,-,600,320,428,I,39.62
612,MP08LH0612,NAWADPURA T,1986,Local,Dhar,TE,13.4,1074,-,734,320,890,I,37.5
613,MP08MH0613,DUNGARIYA,1986,Local,Narsinghpur,TE,19.66,153,-,1029,371,950,I,47.13
614,MP08MH0614,BAROD,1986,Local,Raghogarh,TE,15.93,680,-,1530,397.3,1448,I,81.31
615,MP08LH0615,BHIRATA,1986,Local,Chhatarpur,TE,10.56,950,43,881,477,813,I,47
616,MP08LH0616,GURARI,1986,Local,Sehore,TE,14.82,823.17,-,1657,500,1539,I,34.47
617,MP08LH0617,TALPURA,1986,Local,Sehore,TE,14.96,1215,-,1510,535,1326,I,15
618,MP08HH0618,PATAPRA,1986,Patpara,Kundam,TE,38.86,823,-,2309,560,1927,I,93
619,MP08MH0619,SOHIRA,1986,Local,Sidhi,TE,15.85,1020,2090,2297,754,2097,I,151
620,MP08LH0620,BALIYA,1986,Local,Sidhi,TE,14.02,640,2330,2554,1022,2330,I,96
621,MP08MH0621,MOD SAGAR,1986,Local,Alirajpur,TE,22.35,870,-,7629,1202,6143,I/WS,374.32
622,MP08MH0622,CHANDERI,1986,Local,Bhopal,TE,17.14,1954.5,200,7179,1904,5415,I,52.29
623,MP08MH0623,GHORAPACHHAR,1986,Ghorap'r,Bhopal,TE,23.42,1841,568,12410,2059,11570,I,121.44
624,MP08MH0624,BARCHAR,1986,,Sidhi,TE,28.4,546,-,17180,3570,16560,I,567.89
625,MP08MH0625,CHANDORA,1986,Tapti,Multai,TE/PG,17.26,2043,,18200,3919,16480,I,681
626,MP08HH0626,KANHARGAON,1986,Kulbehra,Chhindwara,TE,30.31,2378,-,26970,5150,23070,I /WS,736.33
627,MP08HH0627,MATIYARI,1986,Matiyari,Anjania,T E,33.66,1131.41,_,56800,6790,51120,I,1557
628,MP08LH0628,SIDHKHAD,1986,Local,Tikamgarh,TE,12.42,236,-,1825,,,I,50
629,MP08MH0629,VINDHYA WASINI,1986,Local,Tikamgarh,TE,19.29,682,-,2580,,,I,101
630,MP08MH0630,KARANPATHER,1987,Local,Anuppur,TE,19.42,450,472,410,104.5,360,I,16.66
