"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
151,MP08LH0151,WAREGAON,1966,Local,Multai,TE,10.35,652,,789,263,772,I,42.56
152,MP08MH0152,GEOLARI,1966,Local,Chhatarpur,TE,19.44,579,92,1529,319,1435,I,65.45
153,MP08MH0153,SARWA TANK,1966,Local,Chhatarpur,TE,20.48,386,113,1963,613,1849,I,86
154,MP08MH0154,VIRLA,1966,Local,Khargone,TE,19.24,270,-,373,820,358,I,95
155,MP08HH0155,SIDHI,1966,Local,Sidhi,TE,45.5,233,6460,6863,1020,6367,I,65
156,MP08MH0156,PIPLODA,1966,Local,Shivpuri,TE,21.03,580.18,-,4758,1050,4320,I,253.43
157,MP08MH0157,SAGAR NADI,1966,Local,Seoni,TE,17.21,1006,,5130,1140,4730,I/F,186
158,MP08MH0158,BARNOO,1966,Barnoo,Sihora,TE,24.6,293.4,188,1032,1196.2,896,I,112.32
159,MP08MH0159,SENDPA,1966,Local,Chhatarpur,TE,15.85,442,-,7950,1741,7470,I,60
160,MP08HH0160,DATLA,1966,Local,Katni,TE,36.18,408.4,-,7550,2208,7290,I,215
161,MP08MH0161,MADAI,1966,Madai,Sihora,TE,18.9,307,-,870,2456,839,I,202
162,MP08LH0162,SEMRAKUDRI,1966,Local,Katni,TE,10.66,1037,,1610,-,680,I,39
163,MP08MH0163,MADAN SAGAR,1966,Local,Tikamgarh,TE,18.28,960,-,12850,,12230,I,345.5
164,MP08LH0164,KULWA,1967,Local,Hata,TE,10.76,585,-,620,225,551,I,34.03
165,MP40HH0165,SATPURA (MPSEB),1967,Tawa,Betul,PG/TE,33.52,513.58,220.87,110436,11728,4814,Therm,4814
166,MP08LH0166,CHHAPARI,1967,,,TE,12.97,1219,-,1400,,1273,I,34
167,MP08MH0167,DUMDUMA,1967,Local,Tikamgarh,TE,24.49,990,-,4160,,1919,I,9.78
168,MP08LH0168,KANJHAR,1968,Local,Barwaha,TE,10.05,655,-,325,77,308,I,26.95
169,MP08LH0169,MAKHANI,1968,Local,Raisen,TE,10.05,296,29.2,1000,273,939,I,25
170,MP08LH0170,JAWARI,1968,Jawari,Vidisha,TE,12,450,57,1160,357,1059,I,55
171,MP08LH0171,KASTURIPURA,1968,Local,Rajgarh,TE,11.89,1051.56,-,999,372,932,I,67
172,MP08MH0172,BOCHKA,1968,Local,Jhabua,TE,15.3,690,-,1890,500,1740,I,92.78
173,MP08LH0173,SURKIPONDI,1968,,,TE,11.8,1333,,4317,1386,3980,I,
174,MP08MH0174,NAHLESARA,1968,Local,Mandsaur,TE,22.25,2638,1025,16142,2297,14528,I,271.68
175,MP08MH0175,GWAL SAGAR,1968,Local,Tikamgarh,TE,20.73,137,-,10248,2816,6688,I,96.25
176,MP08LH0176,ANOO,1968,Local,Damoh,TE,14.3,667.5,-,820,-,753,I,30.01
177,MP08LH0177,KUMEDI TANK,1968,,,TE,13.71,549,-,5653,-,3255,I,55
178,MP08LH0178,BARANA BAMORI,1968,Local,Tikamgarh,TE,11.9,780,-,1072,NA,686,I,239.41
179,MP08LH0179,BALWANTPURA,1968,Local,Tikamgarh,TE,12.05,681,-,1732,,,I,41
180,MP08LH0180,HATIYADELI,1968,Local,Jhabua,TE,12.19,280,,1063,,,I,57.71
