Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1771,MH09MH1771,BEWARTOLA (INTER STATE P,R)     UC,Khudus,Darekasa,TE,17.6,909.5,6400,6400,1478.9,5290,I,575
1772,MH09LH1772,KOLHI,UC,Local Nallah,Malegaon,TE,14,1306,188,5864,185,4306,I,579
1773,MH09LH1773,AKOLI,UC,Local Nallah,Jintur,TE,12.75,2162,,2530,,2260,I,592
1774,MH09HH1774,CHENNA,UC,Chenna,Gadchiroli,TE,33,740,413,14800,1930,14790,I,602
1775,MH09MH1775,NIMGAON,UC,Local Nallah,Gondia,TE,26.24,658,179.1,5140,1330,4730,I,620
1776,MH09LH1776,BADUR,UC,Local Nallah,Parola,TE,12.65,932,,2850,1010,2430,I,627
1777,MH09MH1777,MADAN,UC,Local Nallah,Madan,TE,26.5,1413,773,11460,,10560,I,662
1778,MH09HH1778,GODAVARI,UC,Darna,Igatpuri,TE,34.75,1028,3007,46730,2565,40790,I,662
1779,MH09LH1779,PINDKEPUR,UC,Tr.Pangoli,Gondia,TE,13.23,5270,8555,8550,3245,5920,I,713
1780,MH09LH1780,SUNA,UC,Local Nallah,Hadgaon,TE,12.4,2084,99,4330,,3350,I,736
1781,MH09LH1781,TALOCAL NALLAHI,UC,Local Nallah,TaLocal Nallahi,TE,12.47,2073,305,9520,,7100,I,766
1782,MH09LH1782,KOREGAON,UC,Local Nallah,Dmerga,TE,11.95,1818,,4610,1380,3680,I,777
1783,MH09HH1783,GOD RIVER MEDIUM PROJ.,UC,God river,Sangneshwar,TE,66.78,613,6629,66.63,3006,64.73,I,835
1784,MH09HH1784,KARWAPPA,UC,Karwappa,Gadchiroli,TE,35,1416,991,32560,4454,32560,I,841
1785,MH09LH1785,HADGAON,UC,Local Nallah,Nilanga,TE,11.95,1130,,3000,,2510,I,861
1786,MH09HH1786,MANIKPURI,UC,Waki,Shahada,TE,42.84,888,1453,14760,650,13450,I,912
1787,MH09LH1787,WAKI,UC,Local Nallah,Pachora,TE,13.5,1678,,5720,1656,5280,I,950
1788,MH09MH1788,LOWER TAPI,UC,Kadwa,Nashik,TE,21.8,860,303.72,16460,3150,11470,I,983
1789,MH09HH1789,BHAVALI,UC,Bham,Shahapur,TE,33.97,1550,329,75050,4980,69760,I,990
1790,MH09MH1790,JAMKHED,UC,Local Nallah,Mukhed,TE,16.9,1605,44,10230,,8150,I,1019
1791,MH09MH1791,NAGAN,UC,Nagan,Navapur,TE,29.24,2940,1800,25150,3334,22760,I,1103
1792,MH09HH1792,TALAMBA,UC,Karli,Kudal,TE,57.41,2955,7343,308750,21350,285630,I/H,1354.47
1793,MH09LH1793,WAKOD,UC,Nagzari,A'bad,TE,14.28,2975,577,12050,4480,11400,I,1380
1794,MH09HH1794,MAHAMADWADI,UC,Gad river,Konakwadi,TE,59.33,1590,12000,93374,4243,91399,I/H,1678
1795,MH09HH1795,LOWER PANZARA (AKKALPAD,UC,Punad,Kalwan,TE,33.28,706,1114,39750,3123,36990,I,1791
1796,MH09HH1796,WAKI,UC,Godavari,Pachora,TE,51.87,869,4582,53730,2054,53340,I,1808
1797,MH09HH1797,DARA,UC,Shiwan,Nandurbar,TE,31.3,4828,2410,24180,2070,21700,I/S,1864
1798,MH09HH1798,UPPER KADWA,UC,Manyad,Nandgaon,TE,32.92,1470,471.66,14010,238,9460,I,2032
1799,MH09MH1799,GOMAI,UC,Gomai,Shahada,TE,23.9,5596,1391,28104,5920,20352,I,2049
1800,MH09MH1800,UTAWALI,UC,Utawali,Mehkar,TE,26.05,2112,1910,20808,3642,,I,2336
