"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
541,GJ04MH0541,THEBI,1996,Thebi,Amreli,TE,21.05,4950.23,911.79,10650,4950,9980,I,3794
542,GJ04MH0542,DHRAFAD,1997,Dhrafad,Visavadar,TE,16.05,3785,872,9620,2925,9290,I & S,3073
543,GJ04LH0543,FADDANBETI,1997,Beti,Rajkot,TE/PG,14.36,4760,919,5890,2590,5370,I,2370
544,GJ04MH0544,LACHHADI,1997,Devaka,Maliya Hatina,TE,16.3,85,198.65,2138.01,828.86,1654.75,I.,426.84
545,GJ04MH0545,LIMDI-BHOGAVO II,1997,Limbdi Bhogavo,Limdi,PG,19.87,8806,141,15170,6320,13000,I,7370
546,GJ04MH0546,ADVANA,1998,Sorthi,Porbandar,TE,20.1,1347,2210,2613,1207,2210,I,604
547,GJ04LH0547,BHARUDIA,1998,Bharudia,Bhachau,TE,11.81,2258,429.22,1580,749.2,1409,I,411
548,GJ04MH0548,BHOGAT BANDHARA,1998,Kalipat,Bhat,PG,15,600,6001,6000,,6000,I,2340
549,GJ04MH0549,FULZAR(KB),1998,Fulzar,Jamjodhpur,TE/PG,16.57,5340,1876,18030,505,16280,I,5455
550,GJ04MH0550,JAMBUDA - BANDHARA,1998,Kalindri,Jamnagar,PG,16,2350,310,408,,390,I,790
551,GJ04LH0551,TRIVNI-TRANGA,1998,Jamburi,Chotila,PG,13.6,1290,200,3220,1250,2940,I,1260
552,GJ04LH0552,UND II,1998,Und,Dhrol,TE,14.29,623,135,37120,13575,32870,I,15970
553,GJ04MH0553,WODISANG,1998,Fulzar,Jamnagar,TE/PG,20.97,371,411,7850,3180,5070,I,3203
554,GJ04MH0554,MORSAL,1999,Dundhala,Choitila,TE/PG,23.94,3260,73,3250,2736,3050,I,1271
555,GJ04MH0555,AJI IV,1999,Aji,Dhrol,TE,21.9,658,136,35510,10660,34738,I,18354
556,GJ04LH0556,BALIYAWAD,1999,Baliyawada,Junagadh,TE & PG,13.4,39,327.92,1546.54,442.21,1479.22,I.,
557,GJ04LH0557,CHANDRAVADI,1999,Utavali,Barwala,TE,10.61,5080,646.72,9010,4777.4,6910,I,4864.22
558,GJ04LH0558,HANOL,1999,T/Aji,Tankara,TE,13.5,13.5,97,1021,2000,972,I,196.48
559,GJ04MH0559,KANIYAD,1999,Rajawal,Palitana,TE,15.69,4440,538.05,5599,3720,5248,I,1296.3
560,GJ04MH0560,PATIYALI,1999,Utavali,Botad,TE,17.75,4219.69,317,2930,1950,2480,I,674
561,GJ04MH0561,UTAVALI (GUNDA),1999,Manvar,Kalavad,TE/PG,20,2570,450,4690,1763,3890,I,
562,GJ04MH0562,DEMI III,2000,Meghal,Mendarda,TE,18.5,70,196.6,16186,1575,14819,I,304
563,GJ04MH0563,GALATH,2000,Vartu,Bhanvad,TE/PG,24.34,3108,1075,25600,64500,24020,I,1081
564,GJ04LH0564,KHEDOI,2000,Demi,Koyali,TE/PG,11.5,5640.03,856,9600,4837,8470,I,5516
565,GJ04LH0565,KHODAPIPAR,2000,Khedoi,Anjar,TE,13.28,650,2380.63,2380.63,813.92,1460.45,I,645.22
566,GJ04LH0566,NANI BHALSAN,2000,Ghogham,Padadhari,TE/PG,13.67,3360,38,3360,2370,2360,I,951
567,GJ04LH0567,SINDHANI,2000,Phopal,Kalavad,TE/PG,13.95,3310,746,6120,3034,5880,I,1220
568,GJ04LH0568,VADI,2000,Sindhani,Kalyanpur,TE/PG,13.03,1837,312,8730,4150,7960,I,1395
569,GJ04MH0569,VARTU II,2000,Vadi,Amreli,TE,23.75,6789.23,1334.81,10620,3636,10410,I,2195
570,GJ04MH0570,DABASANG,2001,Veradi,Bhanvad,TE/PG,18.32,4060,508,6420,298,6310,I,1390
571,GJ04MH0571,OZAT- WEIR (SHAPUR),2001,Kosambi,Khedbrahma,UG,23.44,2678,731.69,6310,1800,5760,I,1592
