"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
301,GJ04MH0301,WASNA BARRAGE,1976,Sabarmati,Ahmedabad,PG,20.75,610,635,5350,2959,5390,I,21000
302,GJ04MH0302,ZANZARWA,1976,T Of Banas,BK,TE,23,335,,1663,3459,1533,I,320.58
303,GJ04MH0303,AMBAKUI,1977,Ambakui,Maliya,TE,21,1620,190.95,1720,,1520,I,323
304,GJ04MH0304,ANGANGA,1977,Damanganga,Vapi,TE/PG,21,427,155,6700,,4590,I,14164
305,GJ04MH0305,ANIDA,1977,Local Stream,Gondal,TE,15,760,41,824,,651,I,116
306,GJ04MH0306,BHEKHADO,1977,Local River,Dayapar,TE,15.55,531.87,278,1180,,,I,272
307,GJ04LH0307,DANGRA,1977,Local Vehla,Ohrol,TE,14,1980,,2185,,2185,I,535
308,GJ04MH0308,DEVSAR,1977,Local River,Nakhatrana,TE,15.77,1430,933,1110,,1110,I,240
309,GJ04LH0309,DHOKADA,1977,Local Stream,Dhokada,TE,11.73,994.82,350.68,2140,4500,1790,I,447
310,GJ04MH0310,FULZAR II,1977,Fulzar,Lalapur,TE/PG,17.07,1660,286,3823,1440,3228,I,1076
311,GJ04LH0311,GADAPUTHA,1977,Local River,Nakhatrana,TE,14.62,1027.55,375,1340,,1340,I,382
312,GJ04MH0312,KEVADI,1977,Mandavi Khadi,Mandavi,T E,18.14,125.9,5560,5560,947.63,5260,I,308.67
313,GJ04LH0313,KHORANA,1977,Demi,Rajkot,TE,12.5,1342,,1105,,1020,I,322
314,GJ04LH0314,MULBAVLA,1977,Local Stream,Limdi,TE,11.5,9735,,6020,,4840,I,1169
315,GJ04HH0315,PANAM,1977,Panam,Lunawada,PG,56.36,269.45,6270,737600,8980,698834,"I,H,S,F",10075
316,GJ04MH0316,RAVANA,1977,Pilukiya,Dhari,TE,19,706,,1490,,1233,I,366
317,GJ04LH0317,SARTANPAR,1977,T/Keri,Jasdan,TE,11.8,118,105,2808,,2208,I,288.3
318,GJ04MH0318,ZAR,1977,Fulzar,Dhari,TE,24.5,870,,1464,,1270,I,265
319,GJ04MH0319,BANDHARA,1978,Bhuj,Kachchh,TE,16.45,338,114.21,270,4700,115,I,116
320,GJ04LH0320,GOYALA,1978,Sugandhi,Kachchh,TE,11.81,1318,491,3030,,2390,I,923.81
321,GJ04LH0321,ISAR,1978,Mandavi Khadi,Mandavi,T E,13.6,1171,,3930,1054.04,3680,I,192.28
322,GJ04MH0322,KAKARWA,1978,Local River,Bhachau,TE,17.68,771.34,420,820,,820,I,138
323,GJ04MH0323,MANIJARI,1978,Kotar,Baria,TE,24,716,,1358,,1060,I,152
324,GJ04MH0324,SAMARIYA,1978,Kotar,Jhalod,TE,15,241,94.26,648,150,518,I,75
325,GJ04LH0325,VAGAS,1978,Vehla,Kapadvanj,TE,10,3414,,1024,,936,I,127
326,GJ04MH0326,WANKLAESWAR-BHEY,1978,Bed,D'baria,PG,25.6,151,95.6,14290,2830,12680,I,961
327,GJ04MH0327,BALDEVA,1979,Tokri,Valia,TE,23.4,1391,312,8150,1690,7840,I,918
328,GJ04LH0328,BHADRESHWAR,1979,Bhadreshwar,Mundra,TE,14.76,2537.38,285.91,352,619.68,296,I,116.96
329,GJ04MH0329,GADHADA- RASAJI,1979,Local River,Rapar,TE,17.6,328.25,156,350,,350,I,60
330,GJ04LH0330,GHANSARVAV,1979,Kotar,Nalol,TE,12,2025,,1990,,1126,I,225
