"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
61,RA11LH0061,ALNIA,1962,Alnia Hukud,Ladpura,PG,16.95,1023.2,NA,43710,12800,43700,I,1325
62,RA11MH0062,WEST BANAS,1962,West Bona.,Pindwara,TE,20.9,4557.8,NA,39080,9410,36250,I,1481
63,RA11MH0063,POIDRA,1963,Palganga,Sirohi,TE,17,1323,NA,3030,3230,2660,I,252
64,RA11LH0064,BITHAN,1963,Banas,Jaswantpur,TE,14,706,NA,6390,2080,6000,I,354
65,RA11MH0065,SURWANIA,1963,Borwat,Banswara,TE,23,2880,NA,13190,4180,11336,I,8791
66,RA11MH0066,PARBATI  DAM,1963,Chambal,Bacera,TE/PG,27.94,2318,NA,115200,23000,102800,I,6173
67,RA11LH0067,GADOLA,1964,Local Nalla,Pratapgarh,TE,10.97,1650,NA,5070,2150,4980,I,184
68,RA11LH0068,KALADEH,1964,Local nallah,Chittorgarh,TE,12.52,643,151,2120,550,1550,I,224
69,RA11MH0069,DHANTA,1965,Krashnauti,Sirohi,TE,15.5,425,NA,7640,1760,7460,I,326
70,RA11LH0070,RAIPUR LUNI,1965,Raipur Luni,Raipur,TE,11,522,NA,12552,3550,10960,I,945
71,RA11MH0071,BERACH/Vallabh N,1967,Berach,Villabhnagar,TE,22.2,5822,NA,30470,5500,28770,I,2775
72,RA11LH0072,LADKI,1966,Kothari,Raipur,TE,12.28,581,NA,3790,1190,2775,I,768
73,RA11MH0073,MANDAWARA,1967,Kundal,Swaroopganj,TE,15.25,457,NA,2460,650,2160,I,170
74,RA11MH0074,MEMKHORE,1967,Local Nalla,Ghatol,PG,20.45,244,NA,4200,1940,3580,I,174.4
75,RA11LH0075,BHAGORA,1967,Local Nalla,Garhi,TE,13,-,NA,3230,NA,2550,I/S,229.27
76,RA11HH0076,RANAPRATAP SAGER,1970,Chambal,Kota,PG,53.95,1143,NA,2898690,198290,1566520,I/H/S,18400
77,RA11MH0077,SHIVNATH SAGAR,1971,Local Nalla,Bali,TE,15.67,113,NA,1270,125,1270,I,44
78,RA11MH0078,MANDAR  NALLA-1,1971,West Banas,Reodar,TE,16.77,244.8,NA,2811,850,2221,I,36.4
79,RA11LH0079,PHULAD,1972,Local Nalla,Mar Jan,TE,14.32,5610,NA,3722,102,3500,I,389
80,RA11MH0080,ORAI,1973,Orai,Begun,TE,24.38,1365,NA,35280,6230,32790,I,1574
81,RA11MH0081,BADGAON,1967,Banas,Mavli,TE,21.17,3967,NA,31490,9790,30150,I,2874
82,RA11HH0082,JAWAHARSAGAR,1973,Chambal,Kota,PG,44.8,393,NA,67070,9472,13200,H,21240
83,RA11MH0083,PANDA,1974,Local Nalla,Banswara,PG,18.39,57.91,NA,1420,204,1343,I,3100
84,RA11LH0084,PHUTOON,1975,Local nallah,Phutoon,TE,12.89,756,NA,3360,104.4,3050,I,326.2
85,RA11LH0085,KHATIA,1976,Local nallah,Khatia,TE,12.5,180,NA,1380,69.6,1320,I,108.28
86,RA11LH0086,LUNERI,1976,Local Nalla,Swaroopganj,TE,16.7,1615,NA,2440,291,2286,I,174
87,RA11MH0087,BARDIA,1977,Local nallah,Pratapgarh,TE,10.19,423.15,NA,1982,420,1813,I,195.97
88,RA11LH0088,KER,1977,Local Nalla,Sumerpur,TE,13,1889,NA,3036,1403,2780,I,212
89,RA11LH0089,GIRWAR,1977,West Banas,Abu Road,TE/PG,12.77,983,NA,2320,880,2261.8,I,239
90,RA11LH0090,SINDROO,1977,Amlabala,Sumarpur,TE,12.5,1676,NA,8230,3230,6700,I,266.6
