"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
602,GJ04HH0602,BACHADIYA,U/C,Damanganga,Dharampur,TE/PG,59,2870,11845,567000,,502000,I/S,22040
603,GJ04MH0603,BHESANIA,U/C,Meghal,Maliya,TE/PG,16.92,4500,1062,6640,2800,5230,I,1470
604,GJ04MH0604,BONTWAKHKRO,U/C,Bhesania,S.Kundala,TE,19.5,785,74,369.86,100,320.06,I,107.61
605,GJ04MH0605,CHONDA,U/C,Panari,Khedbrahma,TE/PG,23.38,123,68.1,5140,728,4790,I,1671
606,GJ04MH0606,GELDA,U/C,Fulzar,Visvadar,TE/PG,17.05,2916,,3260,1400,2924,I,1410
607,GJ04MH0607,GOMA,U/C,Goma,kalol,TE/PG,15.3,5891,31,32000,9536,31195,I,3630
608,GJ04MH0608,HAMAPUR,U/C,T/Machhu,Chotila,TE,17,646,80,1206,268,960,I,368
609,GJ04MH0609,HATHIAWAN,U/C,Fulzar,Bagasara,TE,18.65,1065,296,856.73,113.4,767.5,I,166
610,GJ04HH0610,JALJIVADI,U/C,Wankdi,Limkheda,TE/PG,33.5,391,,6330,,6330,I,1336
611,GJ04MH0611,KALBHAR,U/C,Mahadevia,Dhari,TE,20.73,339.94,90,1181.25,174.6,1055.5,I,239.3
612,GJ04MH0612,KANAWADIA,U/C,Kalubhar,Gadhada,TE/PG,25.3,4970,1294,26110,9620,24590,I,7260
613,GJ04MH0613,KAPASIYA,U/C,Fulzar,Visvadar,TE/PG,15.4,1047,,3077,745,2908,I,403
614,GJ04MH0614,KOTIA,U/C,Koliyar,Savalkundla,TE,19,854,116.8,2070,,1980,I,353
615,GJ04MH0615,KRUSHNAGADH,U/C,Local Stream,Mahuva,TE,15.5,735,,1380,,1290,I,189
616,GJ04MH0616,LALAKA,U/C,Kotar,Bediapada,TE,16,500,71,780,450,690,I,55
617,GJ04MH0617,LIKHALA,U/C,Dhamni,Demai,TE,23.63,1636.8,8630,6650,3213.8,6330,I,1283.77
618,GJ04MH0618,MARSAL,U/C,Maghradi,Visvadar,TE/PG,16.15,940,235,1610,375,1480,I,309
619,GJ04MH0619,MEVASA,U/C,Dudnala,Chotila,TE,24,3284,,3250,,2650,I,890
620,GJ04MH0620,MINSAR,U/C,Khodiyar Nehra,S.Kundala,TE,20.02,2330,117,1042,230,934,I,209.57
621,GJ04MH0621,MOTA GUJARIYA,U/C,Minsar,Bhanvad,TE/PG,16.8,2260,582,5850,2200,5450,I,845
622,GJ04MH0622,MUDHAN,U/C,Ozat,Bhesan,TE/PG,16.15,2760,495,7640,2675,7470,I,1320
623,GJ04MH0623,NAGDHANIBA,U/C,Mudhan,Nakhatrana,TE,16.4,640,150,1622,173,1236,I,490
624,GJ04MH0624,NAL,U/C,Maleshri,Bhavnagar,TE,16.89,756,,,,,,
625,GJ04MH0625,NAVALI,U/C,Khodiyar Nehra,S.Kundala,TE,16.89,376,111,644.34,100,562.44,I,166.18
626,GJ04MH0626,POPATDI,U/C,Ozat,Vanthali,PG,15.5,202,233,1790,1100,1540,I,7170
627,GJ04MH0627,RAMNATH,U/C,Popatdi,Visvadar,TE/PG,25.32,3730,1309,4900,1140,4440,I,767
628,GJ04MH0628,SABLI,U/C,Gundajali,Bikha,TE/PG,21.5,2520,,6655,1006,6025,I,826
629,GJ04MH0629,SABURI,U/C,Sabli,Vanthali,TE/PG,19.55,4400,910.93,7200,2390,6140,I,1656
630,GJ04VH0630,SARDAR SAROVER,U/C,Narmada,Rajpipala,PG,163,1210,6820,9500000,348670,5800000,"I,H,C,",85000
631,GJ04MH0631,SHENI,U/C,Localvehla,Jasdan,TE,15.5,1660,,2776,,2210,I,805
