Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1801,MH09HH1801,CHANDRABHAGA,UC,Chandrabhaga,Amravati,TE,44.7,1573,2952,41427,3262,41248,I/H/S,2476
1802,MH09MH1802,TULTULI,UC,Khobragadi,Gadchiroli,TE,21.59,5280,2745,225051,50920,216948,I,3460
1803,MH09HH1803,PURNA,UC,Purna,Amravati,TE,38,3120,1277,41759,5880,35370,I/H/S,3906
1804,MH09HH1804,ANJNERI,UC,Panzara,Sakri,TE,32.3,3137,4326,107790,14815,87870,I,4332
1805,MH09MH1805,NAWATHA,UC,Burai,Dhule,TE,29,2610,1427,36930,7360,33910,I,4342
1806,MH09HH1806,UPPER MANAR,UC,Manar,Kandhar,TE,30.9,1252,126,107.98,,68.09,I,5774
1807,MH09MH1807,SAPALI (UPPER PENGANGA),UC,Local Nallah,Kalmanuri,TE,19,425,,119,,58,I,7080
1808,MH09MH1808,LENDI,UC,Godavari,do,TE,27,2055,4782,7340,,5620,I,7344
1809,MH09MH1809,HUMAN,UC,Human,Chandrapur,TE/PG,28,3222,2448,313731,80930,2245590,I,9242
1810,MH09HH1810,PRAKASHA BARRAGE,UC,Waghur,Jalgaon,TE,39.5,1070,179,325000,3850,248210,I,16071
1811,MH09MH1811,LOWER WARDHA,UC,Wardha,Wardha,TE/PG,27.8,9464,2639,253340,54654,216870,I,20788
1812,MH09MH1812,DHANER,UC,Tapi,Burhanpur,PG,27.7,425,,141000,170,141000,I,21083
1813,MH09MH1813,NANDURI,UC,Tapi,Ama Local Nallaher,TE/PG,20,2186,1381.25,42056,575.36,35780,I/S,49299.5
1814,MH09MH1814,SULWADE BARRAGE,UC,Tapi,Shahada,TE,27.73,688,226,63640,11870,62110,I,50517
1815,MH09HH1815,WADISHEWADI,UC,Tapi,Shahada,TE,36.5,614.5,324,92190,18230,91810,I,50529
1816,MH09MH1816,DEHALI,UC,Tapi,Sind Kheda,TE,28.26,5349,1762,65060,1229,65060,I/S,64227
1817,MH09MH1817,GOSI (KD),UC,Wainganga,Bhandara,TE,22.5,1135,3828,769483,22258,376592,I,67000
1818,MH09LH1818,ZARI,UC,Local Nallah,Parbhani,TE,10,,,1836,,1636,I,
1819,MH09LH1819,RANJANGAON,UC,Local Nallah,Gangapur,TE,10,1500,,1943,,1758,I,
1820,MH09MH1820,PUNAD,UC,Dehli,Akkalkuva,TE,29.62,1820,123,19080,2202,17290,I,
1821,MH09MH1821,ALKHIVALI,UC,Local Nallah,Bhivandi,TE,25.15,360,239,,1280,,I,
1822,MH09LH1822,ALANDI CHORACHI,1968,Alandi,Pune,TE,12,347,398,1635,,,I,
1823,MH09LH1823,DEODHANORA,1968,Local Nallah,Kalam,TE,………..,1097,,1358,,1214,I,200
1824,MH09LH1824,DONGARTAL,1971,Local Nallah,Ramtek,TE,11.75,397,80,820,28.33,770,I,78.5
1825,MH09LH1825,SHIRASWADI,1973,Local Nallah,Khatav,TE,13.94,0,15,0,,1520,I,613.14
1826,MH09LH1826,PRALHADPUR,1974,Local Nallah,Bhokardan,TE,10.74,958,84,1250,55,1130,I,190
1827,MH09LH1827,DHAWADI,1974,Local Nallah,Phaltan,TE,12.45,1170,11,1030,,960,I,221
1828,MH09MH1828,KHANDERAJURI,1975,Local Nallah,Miraj,TE,14.22,205,,570,,510,I,55.73
1829,MH09MH1829,KURWALI (BK),1976,Local Nallah,Khatav,TE,17,1208,8,1410,137,1290,I,798
1830,MH09MH1830,WAFOLA,1978,Wafola,Sawantwadi,TE,18.9,450,96.98,2394,348,2333,I,68.2
1831,MH09LH1831,TULSHI VRIDHAVAN,1979,Local Nallah,Khandala,TE,12.56,1411,222,2920,,2440,I,710
1832,MH09LH1832,JAWAK,1980,Local Nallah,Jamhed,TE,11.57,700,92,1080,43,910,I,2720
1833,MH09LH1833,KANHADEVI,1982,Local Nallah,Mangalwedha,TE,10.3,702,,2000,,,I,
1834,MH09LH1834,SHIVARA,1984,Local Nallah,Shivara,TE,11.22,124.9,,,,,I,
1835,MH09LH1835,SORGAON,1986,Local Nallah,Akkalkot,TE,14.7,510,849,2110,,1630,I,
1836,MH09LH1836,MALKAPUR,1987,Local Nallah,Ashti,TE,14,354,,,,,I,117
1837,MH09LH1837,RAHIMBAD,1988,Local Nallah,Sillod,TE,10.05,826,76,744,392,666,I,136
1838,MH09MH1838,MAHIND,2001,Local Nallah,Patan,TE,14,445,297,2.4,367,1.99,I,815
1839,MH09LH1839,PIMPALGAON,U/C,Bhogawati,Barshi,TE,14.53,2552,695,12660,,9860,I,2054
1840,MH09MH1840,PIMPALGAON,U/C,Local Nallah,Barshi,TE,18.7,2512,126600,12660,464662,,I,2054
1841,MH09LH1841,WAKHARI,U/C,Local Nallah,Phaltan,TE,11.5,1448,4,1220,369,1040,I,587
1842,MH09MH1842,PATODEWADI,U/C,Local Nallah,Shahuwad,TE,21.4,293,11,1690,316,1610,I,140
1843,MH09MH1843,NANDESHI,U/C,Local Nallah,Haveli,TE,19.1,585,20,1690,,1580,I,206
1844,MH09LH1844,BEWADI,U/C,Local Nallah,Khatav,TE,11.48,837,68,770,324,670,I,152
1845,MH09MH1845,WALWAND,U/C,Local Nallah,Daund,TE,26.36,14.45,,2040,,2040,I,1215
