Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1501,MH09HH1501,RAJEWADI,1999,Local Nallah,Chiplun,TE,30.84,460,813.03,3237.1,302.56,2442.54,I,151.61
1502,MH09MH1502,KHADAKOHOL,1999,,Chandgad,TE,24.42,410,192,1820,282.96,1650,I,157.5
1503,MH09HH1503,AWASHI,1999,Local Nallah,Dapoli,TE,36.51,350,894,11151,831,10440,I,221.18
1504,MH09MH1504,DHANOLI,1999,Saptara,Kalwan,TE,28.3,645,507.95,4370,310,2760,I,267
1505,MH09LH1505,DHUMKA,1999,Local Nallah,Washim,TE,14.38,967,91,3064,91,2788,I,293
1506,MH09MH1506,DHANGARWADI,1999,Local Nallah,Ajara,TE,19.28,518,243,2640,628.24,2330,I,301
1507,MH09MH1507,JAMALEWANI,1999,Mashyad,Kalwan,TE,27.63,396,348.5,1782,45,1570,I,340.37
1508,MH09LH1508,CHIKHALI,1999,Local Nallah,Manora,TE,11.1,2177,146,2170,90,1760,I,343
1509,MH09LH1509,MANDWE,1999,Local Nallah,Kalamb,TE,11.77,1590,156,1892,842,1668,I,387
1510,MH09LH1510,HALADWADHONA,1999,Local Nallah,Udgir,TE,14.15,1108,,3690,1150,3320,I,442.28
1511,MH09MH1511,RAWALA,1999,Local Nallah,,TE,23.5,,,5310,,,I,468.68
1512,MH09MH1512,UMARANI,1999,Local Nallah,Jath,T.E.,15.33,220,,,,,I,509
1513,MH09MH1513,PALAIGUDA,1999,Local Nallah,,TE,19.8,,,5975,,,I,552.5
1514,MH09HH1514,ERANDOL,1999,Local Nallah,Ajara,TE,30.27,442,385,4210,540,3940,I,586.34
1515,MH09LH1515,YESODI,1999,Local Nallah,Karjat,TE,12.8,625,,1630,,,I,613
1516,MH09HH1516,KHIRKUND,1999,Arr,Akot,TE,33.3,1419,,5608,,,I,652
1517,MH09MH1517,VADIWALE,1999,Kundali,Maval,TE,29,485.64,8.73,40870,3558,30390,I,746.82
1518,MH09HH1518,NAGEWADI,1999,Local Nallah,Wai,TE,40.02,1090,6470,84.99,56,5990,I,1040
1519,MH09MH1519,ANJANAPALSHI,1999,Anjana,Kannad,TE,19.4,1952,937,15550,3887,13740,I,1167
1520,MH09MH1520,PIMPALGAON JOGE,1999,AR,Junnar,TE,28.6,1560,2010,235520,263000,110240,I,1943.7
1521,MH09HH1521,SAVATRI,1999,Savatri,Poladpur,PG,33.62,320,196,29450,2700,26360,S,3919.79
1522,MH09HH1522,CHASKAMAN,1999,Bhima,Khed,TE/PG,46.28,1045,2903,318.17,18218,210.99,I/H,3962
1523,MH09MH1523,JAMBNALA,1999,Jambnalla,Mahagaon,TE,24.2,1861,,,,,I,
1524,MH09MH1524,KOKISARE (KHAMBALWADI),2000,Local Nallah,Kudal,TE,23.7,471,222,,180,,I,25
1525,MH09MH1525,KARIVADE,2000,Local Nallah,Savantwadi,TE,25,180,112,1526,1100,1497,I,28.7
1526,MH09MH1526,NANIWADE,2000,Local Nallah,Kankawali,TE,22.25,397,300.87,1827.08,199.6,1803,I,31.71
1527,MH09MH1527,KASELI,2000,Local Nallah,Rajapur,TE,29.45,212,2247,,207,,I,47
1528,MH09MH1528,NITTUR 1,2000,Local Nallah,Chandgad,TE,22.55,425,298.33,1904.87,260.66,1868.51,I,70.7
1529,MH09MH1529,MALAWANDI,2000,Local Nallah,Maval,TE,20.45,410,1411,1407,230,1306,I,81
1530,MH09MH1530,NITUUR 2,2000,Local Nallah,Chandagad,TE,27.82,567,536,4380,522,4280,I,90.65
