"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
632,GJ04MH0632,SHERDI,U/C,Sheni,S.Kundala,TE,16.1,333,45,223.95,120,191.43,I,72.21
633,GJ04MH0633,SIMLETI,U/C,Local Angha,Meghraj,TE,15,630,65,2712,,1722,I,545
634,GJ04HH0634,SINGER,U/C,Sipu,Dhanera,TE/PG,38.5,8200,5250,177800,,158000,I,8603
635,GJ04MH0635,SUKHPUR,U/C,Ujol,D'baria,TE/PG,22.7,1332,,11930,,11930,I,2640
636,GJ04MH0636,UMIYASAGAR,U/C,Local Kotar,Kadi,TE,15,5500,,8430,,8430,I,
637,GJ04MH0637,VADIA,U/C,Venu,Jamjodhpur,TE/PG,16.45,2476,228,5366,2436,4938,I,6119
638,GJ04MH0638,VANGADI,U/C,Local,Palitana,TE,16.8,1757,34,598,2480,555,I,100
639,GJ04MH0639,VAVADI,U/C,Varansi,Kapadvanj,TE,15.2,1560,6210,2617,15817,2617,I,1503
640,GJ04MH0640,VERDI,U/C,Veradi,Bhanvad,TE/PG,18.9,3420,920,9790,3220,9460,I,1794
641,GJ04MH0641,WAGADIA,U/C,Sobati,Palitana,TE,20,690,106,1920,,1700,I,115
642,GJ04LH0642,BED TR,UC,Bagodri,Keshod,TE/PG,10.6,3260,,1900,1370,1290,I,490
643,GJ04LH0643,BHAKHARWAD,UC,Sasoi,Jamnagar,TE/PG,10.53,886,,3345,2242.6,3345,TR,5416
644,GJ04LH0644,CHANDRANA,UC,Kharo,Mahavadar,TE/PG,11.13,5220,860,6680,,5760,I,1765
645,GJ04LH0645,DHAMODMATRIA,UC,Local Stream,Palitana,TE,14.5,680,,2321,,2266,I,789
646,GJ04LH0646,FULZAR-PINDAKHAL,UC,Kotar,Sehra,TE,13,725,,1861,82.5,1861,I,145
647,GJ04LH0647,GOMA,UC,Gelda,Bhuj,TE,12.75,900,,2434.07,932.09,2434.07,I,2622.48
648,GJ04LH0648,KARMADIYA,UC,T /Sipu,BK,TE,12.94,1041,,1209,,1082,I,300
649,GJ04LH0649,KHADOI,UC,Vrajmi,Maliya,TE/PG,14.24,587,,2060,540,1930,I,310
650,GJ04LH0650,KISANGADH,UC,Khedol,Anjar,TE,13.3,650,80,2380,814,2056,I,645
651,GJ04LH0651,KUPERBARSEN,UC,Fulzer,S.Kundala,TE,10.5,853.5,161,1980,70,1690,I,414.61
652,GJ04LH0652,LANK,UC,Ghelo,Babara,TE,10,72,19,1455.61,181.9,1301.6,I,554.21
653,GJ04LH0653,MACHHU III,UC,Jamvali,S.Kundala,TE,12.5,650,50.45,584.86,160,507.56,I,154.6
654,GJ04LH0654,MAGHARDI,UC,Machhu,Morbi,TE/PG,11.86,522.65,979,7990,1760,6460,I &S,13450
655,GJ04LH0655,NANI FULZAR,UC,Nani Fulzar,Jamnagar,TE/PG,12.43,682,138,2274,898,2274,I,1051
656,GJ04LH0656,NILWADA,UC,"Navali, Suknera",S.Kundala,TE,11.7,1360,65,703.32,190,613.5,I,177.62
657,GJ04LH0657,OZAT II,UC,Makhania,Babara,TE,13.5,789.45,129,1011.51,388.9,908.13,I,257.39
658,GJ04LH0658,OZAT WEIR (VANTHALI),UC,Ozat,Junagadh,TE/PG,13.61,6353,1834,36200,11450,27710,I,14890
659,GJ04LH0659,SARAKHADIA,UC,Saburi,Dharmendra,TE/PG,14,3630,335,3950,,3950,I,1013
660,GJ04LH0660,SARTANPUR,UC,Dipadia,Khambha,TE,14.25,900,66,789,269.8,679.7,I,199.4
661,GJ04LH0661,SHINGODA 1,UC,Ghugli,Manavadar,TE/PG,11.3,9840,,10190,2000,8740,I,1871
662,GJ04LH0662,SHINGODA 3,UC,Shingoda,Kodinar,TE/PG,11.79,189,,2817,383,2589,I,4465
663,GJ04LH0663,SILMETI,UC,Shingoda,Kodinar,TE/PG,10.9,258,,1107,398,1105,I,4760
664,GJ04LH0664,VADISANG,UC,Sarvo,Vadia,TE/PG,12.5,2476,314,5366,,4938,I,1556
665,GJ04LH0665,VAIDAL,UC,Fulzar,Dhudesia,TE/PG,11,2635,112,7847,,5070,I,3200
666,GJ04LH0666,VIRPUR,UC,Veradi,Bhanvad,TE,14.5,2018,589,36620,,36420,I,2030
