"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
811,MP08MH0811,ADAMPURA,2001,Local,Khargone,TE,21.95,2070,-,600,100,438,I,490
812,MP08LH0812,PONDI,2001,Local,Shahdol,TE,12,930,,740,106,,I,12.98
813,MP08MH0813,AHILO,2001,Local,Sidhi,TE,17,202,1330,1460,229,1330,I,540
814,MP08MH0814,MEHANI,2001,Local,Jhabua,TE,20.6,490,90,798,241,683,I,56
815,MP08MH0815,KISHANPUR,2001,Local,Sausar,TE,21.84,457.5,131.09,1576,253.6,1480,I,92.63
816,MP08LH0816,DEORIKHEDA,2001,Local,Biaora,TE,13.21,845,NA,1330,415,1225,I,80.34
817,MP08LH0817,PULPULDOH,2001,Local,Chhindwara,TE,13.31,690,,1795,482,1610,I,88.99
818,MP08MH0818,CHANDGARH,2001,Local,Khargone,TE,20.05,436,-,3850,620,2687,I,200
819,MP08LH0819,SARWANKHEDA,2001,Local,Ujjain,TE,12.19,870,-,1884,828,1760,I,103
820,MP08LH0820,BAGLA,2001,Local,Ujjain,TE,13.88,990,-,3500,1023,2950,I,189
821,MP08MH0821,TAWA,2001,Local,,TE,28.78,1170,128.47,6180,1745.3,5530,I,232
822,MP08MH0822,AMBAK NALLA,2001,Local,Kasrawad,TE,25.05,1250,447,22050,3831,18440,I,837
823,MP08MH0823,DUDHI,2001,Dudhi,N'Garh,TE,16.25,3570,-,30770,5700,20810,I,1310
824,MP08MH0824,MORDONGRI,2001,Local,Chhindwara,TE,20.84,405,-,1390,-,-,I,51
825,MP08MH0825,MANDVI,2001,Local,Mandla,TE,29.7,940,500.66,2620,,2370,I,87.65
826,MP08LH0826,TEERGARH,2001,,,TE,14.85,,,7915,,,,
827,MP08MH0827,KHADDA,2002,Local,Shahdol,TE,26.13,1100,168.9,,100,567,I,23.5
828,MP08LH0828,SEMARIYA,2002,Local,Shahdol,TE,11.62,620,,,113,950,I,16
829,MP08MH0829,BATKIDOH,2002,Local,Batkidoh,TE,15.38,549,-,608,218.44,553,I,28.62
830,MP08MH0830,DOKERWANI,2002,Local,Jhabua,TE,16.6,218,-,1440,246,1089,I,73
831,MP08LH0831,MANKI,2002,Local,Biaora,TE,13.21,655,NA,789,260,728,I,56.62
832,MP08MH0832,BADI BAODI,2002,Local,Jhabua,TE,16.6,255,-,1235,260.37,1119,I,83.5
833,MP08LH0833,DHOLKA,2002,Local,Ratlam,TE,11.48,900,630,655,272,530,I,42.5
834,MP08MH0834,UMARIYA DALEL,2002,Local,Chhindwara,TE,18.45,360,,2284,291,1927,I,158
835,MP08LH0835,PHOODRA,2002,Local,Sehore,TE,11.43,892,,1038,365,950,I,29
836,MP08LH0836,PARSORA,2002,Local,Silwani,TE,11.65,270,442,1353,513,1286,I,15.55
837,MP08LH0837,JATAL NALLA,2002,Local,Baihar,TE,11.72,1200,62,1534,550,1417,I,48.06
838,MP08LH0838,SURAJMAL JAIN,2002,Local,Ratlam,TE,13.7,1650,77,1420,599,1420,I,83.97
839,MP08MH0839,TANDIKHURD,2002,Local,Rajgarh,TE,18.79,718,129.16,1407,620,1256,I,88.27
840,MP08MH0840,NAGRI,2002,Local,Chiklod,TE,19.63,369,862,972,876,900,I,1555
