"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
121,MP08MH0121,GANGULPARA,1960,Local,,TE,19.51,3009,-,11380,1800,10930,I,191.8
122,MP08LH0122,KHARADI,1960,Local,Lanjhi,TE,14.16,664,-,14730,3900,13690,I,100.38
123,MP08MH0123,SATAK,1960,Local,Barwaha,TE,25,1650,-,25610,4530.5,19860,I,891.25
124,MP08HH0124,GANDHI SAGAR,1960,Local,Mandsaur,PG,62.17,514,-,7322750,60000,6797485,I/Hydl,21238
125,MP08LH0125,BARRACH,1961,Local,Panna,TE,12.08,497,-,1588,440,1581,I,152
126,MP08HH0126,TEJGARH,1961,Local,,TE,31.69,747,-,6790,870,5720,I,250.54
127,MP08LH0127,JHAPDI,1962,Local,Dhar,TE,13.72,765,-,1998.55,549,1974.5,I,181.35
128,MP08LH0128,SINGHPUR,1962,Local,Satna,TE,12.2,1010,-,2771,810,2113,I,132.54
129,MP08MH0129,NAHATRA,1962,Local,Jhabua,TE,15.39,400.8,-,3140,931,2650,I,203.88
130,MP08MH0130,DHUANDHAR,1962,Local,Mandla,T E,27.19,1240.5,_,5460,1020,5280,I,132.45
131,MP08LH0131,HARRIDIH,1962,Local,Shahdol,TE,14.36,630,,304,1206,272,I,23.54
132,MP08MH0132,DAROLI,1962,Local,,TE,22.08,1341,5160,4860,1433,4600,I,225.8
133,MP08MH0133,HATHAIKHEDA,1962,Ajnal,Bhopal,TE,17.1,1581,-,16277,3130,15216,I / Ind,133.1
134,MP08LH0134,RAM SAGAR,1963,Nicholi,Datia,TE,13.41,474,-,5866,2600,5744,I / WS,346.93
135,MP08MH0135,KUNDA NALA,1963,Local,Dhar,TE,15.54,2500,-,8500,5280,8100,I,300
136,MP08MH0136,GORATAL,1963,,,TE,21.34,1341,-,11250,8666,11006,I,170
137,MP08LH0137,CHHUHIYA,1963,Local,Rewa,TE,12.1,645,-,568,-,546,I,66.2
138,MP08LH0138,PDAMASAGAR,1963,Local,Tikamgarh,TE,14.38,137,-,1911,,1341,I,41
139,MP08MH0139,BELGAON,1964,,,TE,16.84,625,,300,80,299,I,
140,MP08VH0140,MADARKHA BANDHI,1964,Local,Nowgaon,TE,10 .00,2130,-,1070,400,911,I,79
141,MP08LH0141,MADARKHA BANDHI,1964,Local,Nowgaon,TE,10,2130,-,1070,400,911,I,79
142,MP08MH0142,CHANDANIA,1964,Local,Shahdol,TE,16.8,72,-,1228,457.2,1110,I,40
143,MP08LH0143,JAMBAR,1964,Local,Vidisha,TE,11.2,330,65,1320,708,1260,I,40
144,MP08MH0144,SIMRAR,1964,Simrar,Katni,TE,25.6,498.7,-,12930,4590,12200,I,246
145,MP08MH0145,NANDANWARA,1964,,Katangi,TE/PG,17.68,250,-,26795,-,19608,I,529
146,MP08LH0146,TEHRAKA,1964,Local,Tikamgarh,TE,12.08,1860,-,5350,NA,4790,I,125
147,MP08MH0147,NAGDA NALLA,1964,Local,Tikamgarh,TE,27.24,2866,-,1845,,1698,I,425
148,MP08MH0148,BHITRIGARH,1965,Local,Katni,TE,19.4,259,-,5250,1090,5022,I,54
149,MP08MH0149,RATAPANI,1965,Gadar,O'ganj,TE,20.11,439,-,15146,2930,14580,I,73
150,MP08LH0150,LONI,1965,Local,Rewa,TE,11.38,2379,-,4750,-,3800,I,215.91
