State,District,Observation Area,Latitude,Longitude,Simple parameters,Appearance,Color,Odour,Regular Monitoring,pH,E C,Oil & Grease,Suspended Solids,Dissolved Oxygen,Chemical Oxygen Demand,Bio-chemical  Oxygen Demand (BOD),Nitrite-Nitrogen as N,Nitrate-Nitrogen as N,Nitrite-Nitrogen and Nitrate- Nitrogen (NO2 +NO3),Free Ammonia,Total Residual Chlorine,Cyanide as CN,Fluoride as F,Sulphides as S,Dissolved Phosphates as P,Sodium Absorption  Ratio (SAR),Total Coliforms,Fecal Coliforms,Special parameters,Total Phosphorous  as P,Total Kjeldal Nitrogen,Total Ammonia (NH4+NH3)-Nitrogen,Phenolic compounds   as C6H5OH,Surfactants,Organo-chlorine Pesticides,PAH,PCB and PCT,Zinc as Zn,Nickel as Ni,Copper as Cu,Hexavalent Chromium as Cr6+,Total Chromium as Cr,Arsenic as As,Lead as Pb,Cadmium as Cd,Mercury as Hg,Manganese as Mn,Iron as Fe,Vanadium as V,Selenium as Se,Boron as B
Orissa,ANGUL TALCHER,"
Bramhani River UpStream",N 20°59.338’ ,E 85°15.313’,,Colourless,5,Agreeable,,7.86,132,<1,12,6.2,12,3,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.3,<0.1,<0.1,0.23,4,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.11,<0.01,<0.01,0.03
Orissa,ANGUL TALCHER,"
Bramhani River DownStream",N 20°54.968’ ,E 85°14.306’,,Colourless,10,Agreeable,,7.8,130,<1,14,6.1,10,2,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,0.23,6,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.07,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.11,<0.01,<0.01,0.03
Orissa,ANGUL TALCHER,"`
Nandira
River",N 20°55.873’, E 85°09.210’,,Colourless,10,Agreeable,,7.93,500,<1,18,5.9,12,3,<0.01,0.9,0.9,<0.1,<0.1,<0.02,1,<0.1,0.11,0.79,9,<2,,0.18,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.1,<0.01,<0.01,0.12
Orissa,ANGUL TALCHER,"
NTPC Kaniha Tikra River",N 21°05.887’, E 85°03.09.4’,,Colourless,10,Agreeable,,7.99,330,<1,14,6.1,8,2,<0.01,<0.23,0.23,<0.1,<0.1,<0.02,1.3,<0.1,0.21,0.41,4,<2,,0.26,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.09,<0.01,<0.01,0.1
Orissa,ANGUL TALCHER,"
Shingazort
(Khaina)",N 21°59.318’ ,E 85°10.026’,,Colourless,10,Agreeable,,8.13,130,<1,26,5.8,12,3,<0.01,0.23,0.23,<0.1,<0.1,<0.02,0.9,<0.1,0.15,0.23,4,<2,,0.2,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,0.01,<0.05,<0.01,<0.01,0.01,<0.01,<0.001,0.01,0.14,<0.01,<0.01,0.05
Orissa,ANGUL TALCHER,"
Ankura",N 21°25.090’ ,E 85°04.105’,,Colourless,5,Agreeable,,7.95,790,<1,29,6,8,2,<0.01,0.23,0.23,<0.1,<0.1,<0.02,0.7,<0.1,<0.1,0.68,2,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.08,<0.01,<0.01,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,ANKLESHWAR,"
Amla Khadi",N 21°36’52.80’’ ,E 072°59’59.09’’,,"Light
Greenish",10,Agreeable,,7.84,1700,1,26,2.4,28,7,0.03,0.9,0.93,<0.1,<0.1,<0.02,0.8,<0.1,0.23,4.59,5,<2,,0.5,4.9,3.5,<0.001,0.12,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,0.05,0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.45,<0.01,<0.01,0.16
Gujarat,ANKLESHWAR,"
Vand Khadi",N 21°34’17.70’’ ,E 072°58’25.70’’’,,"Light
Brownish",20,Agreeable,,6.74,1200,1,32,4.2,20,4,0.02,0.68,0.7,<0.1,<0.1,<0.02,1,<0.1,<0.1,2.14,20,7,,<0.1,4.2,2.8,<0.001,0.1,Not Detected,Not Detected,Not Detected,0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.05,0.58,<0.01,<0.01,0.14
Gujarat,ANKLESHWAR,"
Amaravathi
River",N 21°38’48.32’’ ,E 073°04’49.24’’,,Colourless,5,Agreeable,,7.65,950,1,18,5.3,12,3,0.01,2.26,2.27,<0.1,<0.1,<0.02,0.7,<0.1,0.17,2.6,50,8,,0.2,2.1,1.4,<0.001,0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.15,<0.01,<0.01,0.06
Gujarat,ANKLESHWAR,"
Chapra Khadi",N 21°40’38.10’’ ,E 073°00’58.10’’,,Light Brownish,40,Un-agreeable,,7.46,4880,3,56,1.6,78,26,0.05,1.35,1.4,<0.1,<0.1,<0.02,1.4,0.8,0.29,10.43,21,5,,0.5,11,7,<0.001,0.14,Not Detected,Not Detected,Not Detected,0.02,0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.06,0.5,<0.01,<0.01,0.42
Gujarat,ANKLESHWAR,"
CETP
Outlet water",N 21°37’’10.06’’ ,E 072°59’04.6’’,,Brown,150,Un-agreeable,,7.13,5000,6,108,1.1,368,105,0.15,7,7.15,2.1,<0.1,<0.02,1,3.6,1.8,8.62,140,30,,2.1,126,82,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,0.01,0.05,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.34,0.92,<0.01,<0.01,0.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,ASANSOLE,"
Damodar River near Suryanagar",N 23°38.647’ ,E 086°53.857’,,Colourless,5,Agreeable,,8.18,205,<1,28,5.9,8,2,0.01,0.45,0.46,< 0.1,< 0.1,< 0.02,0.4,< 0.1,< 0.1,0.73,140,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.21,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,0.02,0.15,< 0.01,< 0.01,0.09
West Bengal,ASANSOLE,"
Barakar river near Kulti",N 23°44.830’ ,E 086°48.905’,,Colourless,5,Agreeable,,8.56,164,1,18,5.6,12,3,0.02,0.23,0.25,< 0.1,< 0.1,< 0.02,0.3,< 0.1,0.15,0.7,280,7,,0.25,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.05,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.12,< 0.01,< 0.01,0.05
West Bengal,ASANSOLE,"
Pond near SDO Office, near Spandan udyan",N 23°41.379’ ,E 086°56.847’,,Colourless,5,Agreeable,,8.11,884,2,32,5.1,24,5,0.02,1.35,1.37,< 0.1,< 0.1,< 0.02,0.6,< 0.1,0.18,3,900,11,,0.32,3.5,1.4,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.04,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.13,< 0.01,< 0.01,0.12
West Bengal,ASANSOLE,"
Pond at
Hirapur",N 23°39.456’ ,E 086°56.108’,,Light yellow,20,Agreeable,,8.13,796,2,36,4.9,32,7,0.05,4.74,4.79,< 0.1,< 0.1,< 0.02,0.8,< 0.1,0.37,3.13,500,4,,0.54,4.2,1.9,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.11,< 0.01,< 0.01,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,AURANGABAD,"
Sufna River at Chikaltana bridge",N 19°51’54.3 ,E 75°24’48.6’’,,Greyish,30,Un-Agreeable,,7.76,1170,9,146,<1,436,170,0.03,6.1,6.13,1.2,<0.1,<0.02,0.9,20,3.07,5.64,220,12,,4.2,112,80,0.008,0.2,Not Detected,Not Detected,Not Detected,<0.01,0.03,<0.01,<0.05,0.03,<0.01,<0.01,<0.01,<0.001,0.18,0.25,0.03,0.06,0.81
Maharashtra,AURANGABAD,"
CETP Discharge point Outlet at CETP",N 19°49’38.1’’ ,E 75°14’26.1’’,,"Light
Greyish",15,Un-Agreeable,,7.5,1814,4,78,2.4,108,40,0.04,2.26,2.3,0.5,<0.1,<0.02,0.8,12.64,4.26,3.55,70,6,,5.6,61,40,0.004,0.12,Not Detected,Not Detected,Not Detected,0.01,0.02,<0.01,<0.05,0.02,<0.01,<0.01,<0.01,<0.001,0.23,0.28,0.02,<0.01,0.33
Maharashtra,AURANGABAD,"
Khama river Up-stream (Near Dune Road)",N 19°49’03.6’’ ,E 75°15’04.8’’,,Greyish,30,Un-Agreeable,,7.1,1606,8,248,<1,272,105,0.06,4.29,4.35,0.6,<0.1,<0.02,0.4,12,4.18,2.77,140,11,,5.2,72,54,0.006,0.18,Not Detected,Not Detected,Not Detected,0.09,0.02,0.03,<0.05,0.03,<0.01,<0.01,<0.01,<0.001,0.27,2.28,0.03,<0.01,0.32
Maharashtra,AURANGABAD,"
Khama River after discharge point of CETP (D/s)",N 19°49’02.8’’ ,E 75°15’04.9’’,,"Light
Greyish",20,Un-Agreeable,,7.35,1732,5,82,2.5,128,50,0.02,1.35,1.37,0.4,<0.1,<0.02,0.7,10.4,5,3.52,110,4,,6.2,58,34,0.004,0.15,Not Detected,Not Detected,Not Detected,0.04,0.02,<0.01,<0.05,0.05,<0.01,<0.01,<0.01,<0.001,<0.01,0.2,0.06,<0.01,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,BHADRAVATHI,"
Bhadra River
– U/s of MPM In-take Point","N 13°48'41.4"" ","E 75°43'00.0""",,Colourless,5,Agreeable,,7.47,170,<1,24,6,22,5,0.01,0.68,0.69,<0.1,<0.1,<0.02,0.3,<0.1,<0.1,0.28,14,<2,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.09,<0.01,<0.01,0.02
Karnataka,BHADRAVATHI,"
Bhadra River
– D/s of MPM Discharge point","N 13°50'30.5"" ","E 75°42'32.0""",,Light brown,5,Agreeable,,7.77,170,<1,28,5.6,20,4,0.01,0.9,0.91,<0.1,<0.1,<0.02,0.2,<0.1,<0.1,0.42,21,4,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.1,<0.01,<0.01,0.02
Karnataka,BHADRAVATHI,"
Bhadra River D/s of Bhadravathi Town","N 13°50'40.3"" ","E 75°41'47.8""",,Colourless,5,Agreeable,,7.53,120,<1,32,5.8,18,4,0.02,0.9,0.92,<0.1,<0.1,<0.02,0.2,<0.1,<0.1,0.24,22,4,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.12,<0.01,<0.01,0.02
Karnataka,BHADRAVATHI,"
Jannapura
Pond","N 13°50'11.7"" ","E 75°40'49.2""",,Colourless,5,Agreeable,,7.42,535,<1,36,5.2,20,4,<0.01,2,2,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,1.01,17,<2,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.14,0.01,<0.01,0.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,BHAVNAGAR,"
Nari Village Pond Bt. H Chitra GIDC",N21°46’20.1” ,E072°04’45.7”,,Light Brown,25,"Un-
Agreeable",,7.37,930,<1,92,6.4,44,10,<0.01,1.35,1.35,<0.1,<0.1,<0.02,0.4,1.44,1.1,5.7,20,4,,1.3,2.1,1.4,0.001,<0.1,Not Detected,Not Detected,Not Detected,0.05,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.18,0.9,0.2,<0.01,0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,CHANDRAPUR,"
Wardha River near Intake point for ACC - Ghugus",N19°54’19.7” ,E079°06’53.9”,,Colourless,<5,Agreeable,,8.23,536,<1,<10,6.2,10,3,<0.01,0.27,0.27,<0.1,<0.1,<0.02,0.6,<0.1,0.12,0.92,140,7,,0.16,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.001,<0.01,0.05,<0.01,<0.01,0.05
Maharashtra,CHANDRAPUR,"
Wardha river – Near High flood Level Naigaon",N19°57’21.4” ,E079°05’53.1”,,Colourless,<5,Agreeable,,8.17,532,<1,<10,5.8,12,3,0.06,0.23,0.29,<0.1,<0.1,<0.02,0.5,<0.1,0.14,1.15,170,9,,0.18,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.001,<0.01,0.04,<0.01,<0.01,0.06
Maharashtra,CHANDRAPUR,"
Iral River, Chandrapur (near bridge)",N19°59’32.1” ,E079°15’47.7”,,Colourless,<5,Agreeable,,7.71,864,<1,16,4.2,18,4,0.02,1.1,1.12,<0.1,<0.1,<0.02,0.9,<0.1,0.18,2.04,900,240,,0.24,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.001,<0.01,0.06,<0.01,<0.01,0.32
Maharashtra,CHANDRAPUR,"
Pond near fort at Ballarpur BILT Paper mill",N19°48’14.3” ,E079°22’07.4”,,"Light
Brownish",50,Un-agreeable,,8.05,826,<1,26,4.8,48,11,0.28,3.5,3.78,<0.1,<0.1,<0.02,0.8,<0.1,0.34,2.46,700,110,,0.48,2.6,1.8,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.001,0.01,0.09,<0.01,<0.01,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,COIMBATORE,"
Ukkadam big tank near bus stand",N 10 °59’40.8’’ ,E076°57’ 40.6’’,,Light Grey,50,Un-Agreeable,,8.41,2850,<1,360,2.7,164,45,1.03,3.34,4.42,<0.1,<0.1,<0.02,1.2,2.6,0.44,9.42,7,<2,,0.62,40,28,<0.001,<0.1,Not detected,Not detected,Not detected,0.08,0.05,0.04,<0.05,0.02,<0.01,<0.01,<0.01,<0.001,0.05,3.95,0.06,<0.01,0.61
Tamil Nadu,COIMBATORE,"
Kurichi lake near temple",N 10°58’03.4’’ ,E076°58’04.4’’,,Light Grey,20,Agreeable,,8.36,2500,4,184,3.6,228,60,0.31,1.58,1.89,<0.1,<0.1,<0.02,0.9,8.2,0.52,7.99,4,<2,,0.7,15,7,<0.001,<0.1,Not detected,Not detected,Not detected,0.12,0.03,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.09,0.06,0.01,<0.01,0.25
Tamil Nadu,COIMBATORE,"
Sangullam lake",N 10°57’30.2’’ ,E076°56’25.6’’,,Lightgreen,60,Un-Agreeable,,8.32,2100,<1,216,3.2,256,65,0.26,2.26,2.52,<0.1,<0.1,<0.02,0.8,3.5,<0.1,4.7,2,<2,,<0.1,12,6,<0.001,<0.1,Not detected,Not detected,Not detected,0.05,0.02,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.06,0.09,<0.01,<0.01,0.27
Tamil Nadu,COIMBATORE,"
Near Railway Bridge Noyal River",N 10°58’27.5’’ ,E076°59’44.5’’,,Colourless,10,Agreeable,,8.4,2900,<1,32,5.8,20,4,0.02,0.45,0.47,<0.1,<0.1,<0.02,0.9,<0.1,0.35,3.2,6,<2,,0.48,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.01,0.01,<0.01,0.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,GREATER COCHIN,"
Wettukaday
– D/s of
Periyar River",N 10 °48’86.2’’,E076°22’44.7’’,,Light Brown,10,Agreeable,,6.88,12460,1,26,5.4,38,9,0.02,1.13,1.15,<0.1,<0.1,<0.02,1,0.4,<0.1,23.48,22,<2,,0.15,4.8,2.7,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.28,<0.01,<0.01,<0.05,0.03,<0.01,<0.01,<0.01,<0.001,0.01,0.3,<0.01,0.01,1.29
Kerala,GREATER COCHIN,"
Pathalam Bridge – U/s of Periyar River",N 10 °54’27.9’’,E076°06’91.0’’,,Colourless,10,Agreeable,,7.25,273,1,18,5.6,24,5,<0.01,0.23,0.23,<0.1,<0.1,<0.02,0.6,0.3,0.12,1.2,23,<2,,0.18,4.5,1.4,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,0.03,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.01,0.31,<0.01,<0.01,0.12
Kerala,GREATER COCHIN,"
Near Neptune Ready mix U/s. of Periyar River",N 10 °54’27.1’’,E076°06’93.2’’,,Colourless,10,Agreeable,,6.84,354,1,16,5.2,20,4,<0.01,0.23,0.23,<0.1,<0.1,<0.02,0.8,<0.1,0.22,1.11,30,4,,0.3,1.4,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.02,<0.01,<0.05,0.08,<0.01,<0.01,<0.01,<0.001,0.01,0.2,<0.01,<0.01,0.13
Kerala,GREATER COCHIN,"
Sub-chemie Kadaya – Periyar River at Edayar Industries Area",N 10 °57’77.8’’,E076° 16’ 59.9’’,,"Light
Brownish",20,Agreeable,,6.84,14550,2,28,5.1,34,8,<0.01,0.45,0.45,<0.1,<0.1,<0.02,1.1,0.8,0.16,19.32,50,8,,0.25,6.7,3.1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.17,0.1,0.1,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.04,0.5,<0.01,<0.01,0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,CUDDALORE,"
Pondyankupp am village U/s of Uppanar River",N 11° 37.782' ,E079°43.959',,Colourless,5,Agreeable,,7.84,16000,<1,14,4.8,18,3,0.01,0.9,0.91,<0.1,<0.1,<0.02,1,<0.1,<0.1,25.56,8,<2,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,0.02,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.01,0.02,<0.01,0.05,1.46
Tamil Nadu,CUDDALORE,"
Nochikadu Village U/s of Uppanar River",N 11° 40.408' ,E079°44.391',,Colourless,5,Agreeable,,7.62,18600,<1,12,4.6,20,3,0.02,0.9,0.92,<0.1,<0.1,<0.02,1.2,<0.1,<0.1,42.59,4,<2,,<0.1,<1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,0.02,<0.01,<0.01,<0.05,0.02,<0.01,<0.01,<0.01,<0.001,0.01,0.09,<0.01,0.03,1.92
Tamil Nadu,CUDDALORE,"
Behind Kudikadu Village",N 11°40.712' ,E079°45.591',,Colourless,10,Agreeable,,7.74,39000,<1,14,4.4,24,4,0.01,0.68,0.69,<0.1,<0.1,<0.02,1.2,<0.1,<0.1,42.77,<2,<2,,<0.1,1.01,<1,<0.001,<0.1,Not detected,Not detected,Not detected,0.06,<0.01,<0.01,<0.05,0.04,<0.01,<0.01,<0.01,<0.001,0.01,0.04,0.01,0.12,2.79
Tamil Nadu,CUDDALORE,"
Thikal Thouithy Village D/s of SIPCOT",N 11°41.501' ,E079°45.966',,Colourlesss,5,Agreeable,,7.89,39000,<1,12,4.8,22,4,0.02,0.68,0.7,<0.1,<0.1,<0.02,1.2,<0.1,<0.1,46.72,<2,<2,,<0.1,1,<1,<0.001,<0.1,Not detected,Not detected,Not detected,0.06,<0.01,<0.01,<0.05,0.04,<0.01,<0.01,<0.01,<0.001,0.01,0.02,0.01,0.11,2.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
